"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"1655","1492","7890","273.0851","3.543","508.2","17","17_1_F1","2M+ACN+Na; 2M+Na; M+; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+K; M+Na","[7889]; [7889, 7891]; [7876]; [7889]; [7889]; [7889]; [7889]; [7917]; [7889, 7891]","false","filtered"
"1656","1494","7889","251.1042","3.550","488.8","17","17_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+H+K; M+K; M+Na","[7890]; [7890, 7891]; [7890]; [7890]; [7890]; [7890, 7891]; [7916]; [7891]; [7890]","false","filtered"
"1657","1495","7916","526.2579","3.557","394.4","17","17_1_F1","2M+ACN+Na; 2M+K; M+ACN+Na; M+K","[8037]; [7917]; [7889]; [7917]","false","filtered"
"1658","1493","7891","289.0590","3.543","191.3","17","17_1_F1","2M+K; M+2K-H; M+K","[7889, 7890]; [7889]; [7889, 7890]","false","filtered"
"1702","1501","8051","639.2088","3.577","74.1","17","","2M+K; M+K","[8032, 8045]; [8032, 8045, 8100]","false","kept (no corr-family)"
"1650","1382","7117","219.1003","3.234","1,024.1","16","16_1_F1","2M+Na; M+Na","[7113]; [7113]","true","keep_rep"
"1651","1398","7223","352.1165","3.266","371.4","16","16_1_F1","M+2H; M+H+Na","[7113]; [7113]","false","filtered"
"1652","1381","7113","235.0736","3.229","194.8","16","16_1_F1","2M+K; M+2H+Na; M+3H; M+K","[7117]; [7223]; [7223]; [7117]","false","filtered"
"1647","1401","7232","258.0743","3.273","275.6","15","15_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[7229]; [7229, 7230]; [7229]; [7229]; [7229]; [7229]; [7229, 7230]","true","keep_rep"
"1648","1399","7229","236.0921","3.270","141.1","15","15_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[7232]; [7230, 7232]; [7232]; [7232]; [7232]; [7230, 7232]; [7230]; [7232]","false","filtered"
"1649","1400","7230","274.0481","3.270","86.7","15","15_1_F1","2M+K; M+2K-H; M+K","[7229, 7232]; [7229]; [7229, 7232]","false","filtered"
