"","Feature","mz","rt","intensity","iso_group","status","shift"
"2615","2615","482.9617","10.995","22,938,800.2","300","keep_rep","C13*1 (z=1)"
"2621","2621","483.9653","10.995","2,333,420.2","300","filtered","C13*1 (z=1)"
"2624","2624","484.9662","10.995","764,955.9","300","filtered","C13*1 (z=1)"
"2627","2627","485.9689","10.994","52,807.0","300","filtered","none"
"2604","2604","480.9824","9.913","1,694,731.3","299","keep_rep","C13*1 (z=1)"
"2611","2611","481.9857","9.912","164,045.4","299","filtered","none"
"2600","2600","480.3100","2.721","1,326,165.2","298","keep_rep","C13*1 (z=1)"
"2608","2608","481.3132","2.721","324,838.7","298","filtered","none"
"2601","2601","480.3098","1.567","2,418,186.2","297","keep_rep","C13*1 (z=1)"
"2609","2609","481.3132","1.567","624,129.1","297","filtered","C13*1 (z=1)"
"2613","2613","482.3156","1.567","77,930.5","297","filtered","none"
"2596","2596","478.2942","1.567","635,397.7","296","keep_rep","C13*1 (z=1)"
"2598","2598","479.2976","1.567","144,633.1","296","filtered","none"
"2577","2577","473.2828","1.344","1,784,158.9","295","keep_rep","C13*1 (z=1)"
"2582","2582","474.2863","1.345","528,206.4","295","filtered","none"
"2576","2576","473.2793","7.353","1,145,973.3","294","keep_rep","C13*1 (z=1)"
"2581","2581","474.2827","7.353","260,405.1","294","filtered","none"
"2554","2554","464.3149","1.567","4,294,288.8","293","keep_rep","C13*1 (z=1)"
"2558","2558","465.3184","1.567","1,075,520.0","293","filtered","none"
"2553","2553","464.3149","2.698","2,169,813.0","292","keep_rep","C13*1 (z=1)"
"2559","2559","465.3182","2.698","537,317.8","292","filtered","none"
"2545","2545","462.2994","2.698","196,719.6","291","keep_rep","C13*1 (z=1)"
"2551","2551","463.3026","2.698","40,995.8","291","filtered","none"
"2544","2544","462.2572","1.304","175,024.5","290","filtered","C13*1 (z=1)"
"2549","2549","463.2652","1.304","247,603.1","290","keep_rep","none"
"2543","2543","462.0673","11.306","625,024.5","289","keep_rep","C13*1 (z=1)"
"2547","2547","463.0710","11.306","88,068.0","289","filtered","none"
"2535","2535","459.2636","7.353","1,393,208.6","288","keep_rep","C13*1 (z=1)"
"2538","2538","460.2669","7.353","306,843.2","288","filtered","none"
"2529","2529","457.1871","1.485","1,155,656.4","287","keep_rep","C13*1 (z=1)"
"2532","2532","458.1906","1.485","301,509.9","287","filtered","none"
"2521","2521","454.1505","3.879","625,387.2","286","keep_rep","C13*1 (z=1)"
"2526","2526","455.1538","3.879","103,295.2","286","filtered","none"
"2518","2518","453.8502","16.050","5,081,510.4","285","keep_rep","C13*1 (z=2); C13*1 (z=1)"
"2523","2523","454.3520","16.051","518,871.6","285","filtered","C13*1 (z=2)"
"2524","2524","454.8523","16.060","278,672.1","285","filtered","none"
"2516","2516","453.1665","5.665","207,222.0","284","keep_rep","C13*1 (z=1)"
"2522","2522","454.1698","5.665","26,882.7","284","filtered","none"
"2499","2499","449.1983","9.142","275,466.0","283","keep_rep","C13*1 (z=1)"
"2504","2504","450.2016","9.141","41,589.2","283","filtered","none"
"2498","2498","449.1502","1.425","8,117,968.8","282","keep_rep","C13*1 (z=1)"
"2503","2503","450.1536","1.425","1,650,560.7","282","filtered","none"
"2484","2484","445.9813","8.294","1,813,923.7","281","keep_rep","C13*1 (z=1)"
"2490","2490","446.9831","8.294","353,333.4","281","filtered","none"
"2482","2482","445.0531","9.793","4,813,444.9","280","keep_rep","C13*1 (z=1)"
"2485","2485","446.0569","9.793","561,972.2","280","filtered","none"
"2468","2468","442.0174","11.019","3,803,769.6","279","keep_rep","C13*1 (z=1)"
"2474","2474","443.0212","11.019","398,010.5","279","filtered","none"
"2464","2464","440.8604","16.060","71,239,689.1","278","keep_rep","C13*1 (z=1)"
"2467","2467","441.8638","16.063","3,401,904.0","278","filtered","none"
"2463","2463","440.0223","12.351","559,810.1","277","keep_rep","C13*1 (z=1)"
"2465","2465","441.0253","12.351","64,477.7","277","filtered","none"
"2445","2445","436.2835","2.721","1,708,917.2","276","keep_rep","C13*1 (z=1)"
"2456","2456","437.2870","2.721","370,964.7","276","filtered","none"
"2446","2446","436.2834","1.587","3,381,474.6","275","keep_rep","C13*1 (z=1)"
"2455","2455","437.2868","1.587","721,714.1","275","filtered","none"
"2423","2423","430.0845","4.579","265,242.8","274","keep_rep","C13*1 (z=1)"
"2426","2426","431.0878","4.579","32,314.5","274","filtered","none"
"2412","2412","428.1092","8.027","2,335,711.2","273","keep_rep","C13*1 (z=1)"
"2419","2419","429.1127","8.025","276,443.3","273","filtered","C13*1 (z=1)"
"2424","2424","430.1138","8.024","60,274.3","273","filtered","none"
"2404","2404","426.0225","9.397","33,671,339.6","272","keep_rep","C13*1 (z=1)"
"2407","2407","427.0261","9.398","3,581,577.5","272","filtered","none"
"2401","2401","425.0810","10.082","989,963.9","271","keep_rep","C13*1 (z=1)"
"2406","2406","426.0844","10.083","109,548.0","271","filtered","none"
"2391","2391","422.9542","9.190","1,149,678.2","270","keep_rep","C13*1 (z=1)"
"2397","2397","423.9558","9.188","197,555.4","270","filtered","none"
"2390","2390","422.0880","11.377","723,292.2","269","keep_rep","C13*1 (z=1)"
"2393","2393","423.0915","11.377","105,412.8","269","filtered","none"
"2378","2378","419.9881","12.351","2,580,494.2","268","keep_rep","C13*1 (z=1)"
"2383","2383","420.9899","12.351","508,006.8","268","filtered","none"
"2361","2361","416.7613","1.304","285,838.5","267","keep_rep","C13*1 (z=1)"
"2368","2368","417.7689","1.304","273,907.0","267","filtered","none"
"2353","2353","414.8461","9.720","4,338,864.3","266","keep_rep","C13*1 (z=1)"
"2358","2358","415.8457","9.721","198,768.0","266","filtered","none"
"2346","2346","413.1972","1.485","7,829,137.2","265","keep_rep","C13*1 (z=1)"
"2351","2351","414.2007","1.485","2,044,677.1","265","filtered","C13*1 (z=1)"
