"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT0586",562.7986,27.4,"","",NA,"","",NA,"corgroup144","",""
"FT9405",563.2509,248.7,"","",NA,"","",NA,"corgroup145","",""
"FT8087",565.2121,216.6,"","",NA,"","",NA,"corgroup101","",""
"FT9141",565.2122,240.9,"","",NA,"","",NA,"corgroup260","",""
"FT7425",566.2015,201.1,"","",NA,"","",NA,"corgroup98","",""
"FT8553",567.2276,226.9,"","","FT8555-H2O","","","group31","corgroup160","+",""
"FT5213",567.2277,141.9,"","",NA,"","",NA,"corgroup204","",""
"FT10257",567.2277,269.8,"","",NA,"","",NA,"corgroup219","",""
"FT10547",567.2281,279.3,"","",NA,"","",NA,"corgroup309","",""
"FT13732",568.2595,367.6,"","",NA,"","",NA,"corgroup315","",""
"FT9966",569.243,264.3,"","",NA,"","",NA,"corgroup143","",""
"FT7887",569.2435,212.5,"","",NA,"","",NA,NA,"",""
"FT12022",570.275,319.6,"","",NA,"","",NA,"corgroup125","",""
"FT11762",570.2752,312.1,"","",NA,"","",NA,"corgroup126","",""
"FT13014",570.2752,347.3,"","",NA,"","",NA,"corgroup42","",""
"FT10527",570.2765,278.9,"","",NA,"","",NA,"corgroup252","",""
"FT5368",572.2356,147.6,"","",NA,"","",NA,"corgroup116","",""
"FT4327",572.2358,121.7,"","",NA,"","",NA,"corgroup213","",""
"FT5688",572.2358,156.2,"","",NA,"","",NA,"corgroup188","",""
"FT12032",572.2778,319.7,"","",NA,"","",NA,NA,"",""
"FT6858",573.2063,187.9,"","",NA,"","",NA,NA,"",""
"FT6406",573.2076,176.9,"","",NA,"","",NA,"corgroup177","",""
"FT10553",573.2766,279.5,"","",NA,"","",NA,NA,"",""
"FT7058",574.2509,195.2,"","",NA,"","",NA,"corgroup327","",""
"FT5525",574.2725,151.7,"","",NA,"","",NA,"corgroup158","",""
