"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT11899",941.5417,316.3,"","",NA,"","",NA,"corgroup296","",""
"FT8853",946.5026,234.3,"","",NA,"","",NA,"corgroup78","",""
"FT8838",951.4575,233.8,"","",NA,"","",NA,"corgroup78","",""
"FT0600",954.7472,28,"","",NA,"","",NA,"corgroup134","",""
"FT11909",958.5679,315.8,"","",NA,"","",NA,"corgroup152","",""
"FT7807",962.5005,211.1,"","",NA,"","",NA,"corgroup165","",""
"FT8062",962.5007,215.8,"","",NA,"","",NA,"corgroup101","",""
"FT7790",967.4506,209.9,"","",NA,"","",NA,"corgroup165","",""
"FT8049",967.4526,216.3,"","",NA,"","",NA,"corgroup101","",""
"FT21209",970.6115,580.7,"","",NA,"","",NA,"corgroup104","",""
"FT0563",970.7228,28.2,"","",NA,"","",NA,"corgroup134","",""
"FT21225",975.5658,581.3,"","",NA,"","",NA,"corgroup104","",""
"FT21393",977.9383,584.9,"","",NA,"","",NA,"corgroup334","",""
"FT12958",979.4987,346.6,"","",NA,"","",NA,"corgroup83","",""
"FT13365",981.5019,357.7,"","",NA,"","",NA,"corgroup240","",""
"FT9973",1057.5182,264.3,"","",NA,"","",NA,"corgroup209","",""
"FT9975",1074.5454,265.1,"","",NA,"","",NA,"corgroup140","",""
"FT7243",1124.5512,200.6,"","",NA,"","",NA,"corgroup57","",""
"FT7429",1129.5094,201.5,"","",NA,"","",NA,"corgroup326","",""
"FT9920",1158.508,263.1,"","",NA,"","",NA,"corgroup143","",""
"FT9976",1171.5336,263.4,"","",NA,"","",NA,"corgroup140","",""
"FT9977",1173.5282,263.6,"","",NA,"","",NA,"corgroup141","",""
"FT11103",1180.5478,291.3,"","",NA,"","",NA,"corgroup131","",""
"FT9985",1181.4376,264.5,"","",NA,"","",NA,"corgroup267","",""
"FT11363",1188.5563,298.4,"","",NA,"","",NA,"corgroup128","",""
"FT21390",1290.6301,585.1,"","",NA,"","",NA,"corgroup334","",""
