mz	rtime	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records	user_input
280.0925202	0.48817444	kp3_257.1028	M0,Na/H	['C10H15N3O5', 'C15H15NO3', 'C8H20NO6P']	257.10282320823	Glycerophosphocholine	{'C8H20NO6P': [{'DB_ID': 'HMDB0000086', 'name': 'Glycerophosphocholine'}], 'C10H15N3O5': [{'DB_ID': 'HMDB0000982', 'name': '5-Methylcytidine'}, {'DB_ID': 'HMDB0039229', 'name': 'Pyro-L-glutaminyl-L-glutamine'}, {'DB_ID': 'HMDB0240577', 'name': '3-Methylcytidine'}], 'C15H15NO3': [{'DB_ID': 'HMDB0014643', 'name': 'Tolmetin'}]}	('C8H20NO6P_257.102824', '', 1), ('C10H15N3O5_257.101171', '', 1), ('C15H15NO3_257.105193', '', 1)	[]
307.1015945	0.54535353	kp3_257.1028	13C/12C*11,K/H	['C10H15N3O5', 'C15H15NO3', 'C8H20NO6P']	257.10282320823	Glycerophosphocholine	{'C8H20NO6P': [{'DB_ID': 'HMDB0000086', 'name': 'Glycerophosphocholine'}], 'C10H15N3O5': [{'DB_ID': 'HMDB0000982', 'name': '5-Methylcytidine'}, {'DB_ID': 'HMDB0039229', 'name': 'Pyro-L-glutaminyl-L-glutamine'}, {'DB_ID': 'HMDB0240577', 'name': '3-Methylcytidine'}], 'C15H15NO3': [{'DB_ID': 'HMDB0014643', 'name': 'Tolmetin'}]}	('C8H20NO6P_257.102824', '', 1), ('C10H15N3O5_257.101171', '', 1), ('C15H15NO3_257.105193', '', 1)	[]
365.1062661	0.50351113	kp4_342.117	M0,M+H+	['C12H22O11']	342.11701883331966	Glucose-1,3-mannose oligosaccharide	{'C12H22O11': [{'DB_ID': 'HMDB0060068', 'name': 'Glucose-1,3-mannose oligosaccharide'}, {'DB_ID': 'HMDB0000048', 'name': 'Melibiose'}, {'DB_ID': 'HMDB0000055', 'name': 'Cellobiose'}, {'DB_ID': 'HMDB0000163', 'name': 'D-Maltose'}, {'DB_ID': 'HMDB0000186', 'name': 'Alpha-Lactose'}, {'DB_ID': 'HMDB0000258', 'name': 'Sucrose'}, {'DB_ID': 'HMDB0000740', 'name': 'Lactulose'}, {'DB_ID': 'HMDB0000975', 'name': 'Trehalose'}, {'DB_ID': 'HMDB0002923', 'name': 'Isomaltose'}, {'DB_ID': 'HMDB0005826', 'name': 'Galactinol'}, {'DB_ID': 'HMDB0006603', 'name': '3-b-Galactopyranosyl glucose'}, {'DB_ID': 'HMDB0006792', 'name': 'Epimelibiose'}, {'DB_ID': 'HMDB0011740', 'name': 'Turanose'}, {'DB_ID': 'HMDB0011742', 'name': 'Kojibiose'}, {'DB_ID': 'HMDB0029880', 'name': 'Neotrehalose'}, {'DB_ID': 'HMDB0029882', 'name': 'Sakebiose'}, {'DB_ID': 'HMDB0029898', 'name': 'Inulobiose'}, {'DB_ID': 'HMDB0029902', 'name': 'Galabiose'}, {'DB_ID': 'HMDB0029919', 'name': 'Maltulose'}, {'DB_ID': 'HMDB0029933', 'name': 'Mannobiose'}, {'DB_ID': 'HMDB0033368', 'name': 'DEAE-cellulose'}, {'DB_ID': 'HMDB0038489', 'name': 'Allolactose'}, {'DB_ID': 'HMDB0039237', 'name': 'Glucinol'}, {'DB_ID': 'HMDB0039727', 'name': 'Trehalulose'}, {'DB_ID': 'HMDB0039876', 'name': 'Fagopyritol A1'}, {'DB_ID': 'HMDB0041627', 'name': 'beta-Lactose'}, {'DB_ID': 'HMDB0133305', 'name': '6-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol'}]}	('C12H22O11_342.116212', '', 1)	[]
343.1243245	0.5703882	kp4_342.117	M0,Na/H	['C12H22O11']	342.11701883331966	Glucose-1,3-mannose oligosaccharide	{'C12H22O11': [{'DB_ID': 'HMDB0060068', 'name': 'Glucose-1,3-mannose oligosaccharide'}, {'DB_ID': 'HMDB0000048', 'name': 'Melibiose'}, {'DB_ID': 'HMDB0000055', 'name': 'Cellobiose'}, {'DB_ID': 'HMDB0000163', 'name': 'D-Maltose'}, {'DB_ID': 'HMDB0000186', 'name': 'Alpha-Lactose'}, {'DB_ID': 'HMDB0000258', 'name': 'Sucrose'}, {'DB_ID': 'HMDB0000740', 'name': 'Lactulose'}, {'DB_ID': 'HMDB0000975', 'name': 'Trehalose'}, {'DB_ID': 'HMDB0002923', 'name': 'Isomaltose'}, {'DB_ID': 'HMDB0005826', 'name': 'Galactinol'}, {'DB_ID': 'HMDB0006603', 'name': '3-b-Galactopyranosyl glucose'}, {'DB_ID': 'HMDB0006792', 'name': 'Epimelibiose'}, {'DB_ID': 'HMDB0011740', 'name': 'Turanose'}, {'DB_ID': 'HMDB0011742', 'name': 'Kojibiose'}, {'DB_ID': 'HMDB0029880', 'name': 'Neotrehalose'}, {'DB_ID': 'HMDB0029882', 'name': 'Sakebiose'}, {'DB_ID': 'HMDB0029898', 'name': 'Inulobiose'}, {'DB_ID': 'HMDB0029902', 'name': 'Galabiose'}, {'DB_ID': 'HMDB0029919', 'name': 'Maltulose'}, {'DB_ID': 'HMDB0029933', 'name': 'Mannobiose'}, {'DB_ID': 'HMDB0033368', 'name': 'DEAE-cellulose'}, {'DB_ID': 'HMDB0038489', 'name': 'Allolactose'}, {'DB_ID': 'HMDB0039237', 'name': 'Glucinol'}, {'DB_ID': 'HMDB0039727', 'name': 'Trehalulose'}, {'DB_ID': 'HMDB0039876', 'name': 'Fagopyritol A1'}, {'DB_ID': 'HMDB0041627', 'name': 'beta-Lactose'}, {'DB_ID': 'HMDB0133305', 'name': '6-({[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxane-2,3,4,5-tetrol'}]}	('C12H22O11_342.116212', '', 1)	[]
148.0607585	0.5572169	kp5_144.0433	13C/12C*3,M+H+	['C6H8O4']	144.04331318323	3-Hexenedioic acid	{'C6H8O4': [{'DB_ID': 'HMDB0000393', 'name': '3-Hexenedioic acid'}, {'DB_ID': 'HMDB0000522', 'name': '3-Methylglutaconic acid'}, {'DB_ID': 'HMDB0002266', 'name': '(E)-2-Methylglutaconic acid'}, {'DB_ID': 'HMDB0013311', 'name': 'trans-2-Hexenedioic acid'}, {'DB_ID': 'HMDB0029171', 'name': '3-Hydroxyadipic acid 3,6-lactone'}, {'DB_ID': 'HMDB0031257', 'name': 'Dimethyl fumarate'}, {'DB_ID': 'HMDB0036232', 'name': 'Maleic acid homopolymer'}, {'DB_ID': 'HMDB0040207', 'name': 'Ethyl hydrogen fumarate'}]}	('C6H8O4_144.042259', '', 1)	[]
145.0504858	0.5459968	kp5_144.0433	M0,M+H+	['C6H8O4']	144.04331318323	3-Hexenedioic acid	{'C6H8O4': [{'DB_ID': 'HMDB0000393', 'name': '3-Hexenedioic acid'}, {'DB_ID': 'HMDB0000522', 'name': '3-Methylglutaconic acid'}, {'DB_ID': 'HMDB0002266', 'name': '(E)-2-Methylglutaconic acid'}, {'DB_ID': 'HMDB0013311', 'name': 'trans-2-Hexenedioic acid'}, {'DB_ID': 'HMDB0029171', 'name': '3-Hydroxyadipic acid 3,6-lactone'}, {'DB_ID': 'HMDB0031257', 'name': 'Dimethyl fumarate'}, {'DB_ID': 'HMDB0036232', 'name': 'Maleic acid homopolymer'}, {'DB_ID': 'HMDB0040207', 'name': 'Ethyl hydrogen fumarate'}]}	('C6H8O4_144.042259', '', 1)	[]
169.0587383	0.52062434	kp6_146.0695	M0,M+H+	['C5H10N2O3']	146.0694904333283	L-Glutamine	{'C5H10N2O3': [{'DB_ID': 'HMDB0000641', 'name': 'L-Glutamine'}, {'DB_ID': 'HMDB0002031', 'name': 'Ureidoisobutyric acid'}, {'DB_ID': 'HMDB0003423', 'name': 'D-Glutamine'}, {'DB_ID': 'HMDB0006899', 'name': 'Alanylglycine'}]}	('C5H10N2O3_146.069142', '', 1)	[]
147.0767955	0.5369775	kp6_146.0695	M0,Na/H	['C5H10N2O3']	146.0694904333283	L-Glutamine	{'C5H10N2O3': [{'DB_ID': 'HMDB0000641', 'name': 'L-Glutamine'}, {'DB_ID': 'HMDB0002031', 'name': 'Ureidoisobutyric acid'}, {'DB_ID': 'HMDB0003423', 'name': 'D-Glutamine'}, {'DB_ID': 'HMDB0006899', 'name': 'Alanylglycine'}]}	('C5H10N2O3_146.069142', '', 1)	[]
586.2696382	4.8596783	kp7_585.2602	M0,M+H+	None	585.26017963323				[]
588.271984	4.8556004	kp7_585.2602	13C/12C*2,M+H+	None	585.26017963323				[]
