"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","Orbi_P_E2_EXBLANKA.mzML Peak area","Orbi_P_E2_EXBLANKB.mzML Peak area","Orbi_P_E2_EXBLANKC.mzML Peak area","Orbi_P_E2_WS03A.mzML Peak area","Orbi_P_E2_WS03B.mzML Peak area","Orbi_P_E2_WS03C.mzML Peak area","Orbi_P_E2_Wasteblank4.mzML Peak area","Orbi_P_E2_Wasteblank5.mzML Peak area","Orbi_P_E2_Wasteblank6.mzML Peak area","...23"
108,148.027747202038,0.3691534,"","","","31","0","[M+H]+","","2","135;108","147.02027",110.230865,127.83077,219.25595,5474.0723,5833.597,7037.8867,172.29855,152.28918,184.22408,""
181,169.046245473216,0.3699988,"","","","31","","","","","","",3400.032,6229.0063,1967.0215,31506.426,38140.88,38798.13,1345.9973,1262.1227,1630.8206,""
145,244.947524514771,0.37269926,"","","","31","","","","","","",5392.9536,4788.456,2039.008,46231.58,50213.715,55452.008,2226.013,5194.8535,7832.9863,""
189,217.989560019037,0.375543,"","","","31","23","[M+Na]+","","2","189;208","195.00015",45.37719,47.30465,57.072052,2277.1213,2736.8374,3098.1133,160.88268,96.4292,136.43341,""
187,142.035266103908,0.38185114,"","","","31","22","[M+H]+","","2","84;187","141.02778",26.185823,82.36227,36.29093,2450.0554,2919.9785,2723.9219,32.492455,29.46952,43.865498,""
132,146.030246116054,0.3821843,"","","","31","","","","","","",2120.7595,3948.752,1935.1873,36703.44,38957.61,42212.324,5816.237,1387.3805,4296.797,""
121,255.941734388312,0.38238192,"","","","31","11","[M+K]+","","2","192;121","216.97823",156.61841,214.42197,171.43184,4729.9688,5653.565,5424.2583,274.04895,412.787,330.22168,""
176,130.017296466389,0.38318232,"","","","31","0","[M+H-H2O]+","","2","176;135","147.02027",2893.2078,4055.7585,3601.0266,41001.145,47537.848,46656.605,2847.886,828.2108,3404.269,""
80,182.962967257818,0.38836986,"","","","31","15","[M+H-H2O]+","","2","209;80","199.96579",155.55397,95.780365,54.07303,1172.7279,1802.9645,2023.007,182.91266,316.73752,76.047806,""
131,141.0061053001,0.389016,"","","","31","1","[M+NH4]+","","2","88;131","122.97292",48.081944,60.123413,30.390965,1524.0931,1879.9335,1930.5077,36.52008,32.062172,45.960903,""
135,165.053575114018,0.39310896,"","","","31","0","[M+NH4]+","","3","176;135;108","147.02027",26.550898,56.041084,20.477877,1163.752,1304.504,1377.4366,28.94653,21.442032,31.17192,""
139,218.984248642044,0.39526019,"","","","31","","","","","","",278.97952,100.60647,49.09931,11885.721,16571.613,18111.914,49.321404,93.872345,162.27475,""
