id_number,mz,rtime,Orbi_P_E2_EXBLANKA.mzML,Orbi_P_E2_EXBLANKB.mzML,Orbi_P_E2_EXBLANKC.mzML,Orbi_P_E2_WS03A.mzML,Orbi_P_E2_WS03B.mzML,Orbi_P_E2_WS03C.mzML,Orbi_P_E2_Wasteblank4.mzML,Orbi_P_E2_Wasteblank5.mzML,Orbi_P_E2_Wasteblank6.mzML
663,564.7964303,0.47159895,0,0,0,4686.325,5472.9336,5625.52,0,0,0
606,578.7722926,0.47159895,0,0,0,3335.3286,5264.206,6185.9644,0,0,0
695,472.817544,0.47161627,0,0,0,2563.1533,4455.93,5104.1377,0,0,0
665,548.8226716,0.4716107,0,0,0,9095.9795,9517.242,7463.7876,0,0,0
703,700.771198,0.47159895,0,0,0,3896.33,4265.4053,3512.6797,0,0,0
565,1022.735551,0.4715698,0,0,0,2978.731,2464.3433,682.33014,0,0,0
560,752.7862004,0.4716107,0,0,0,3980.339,3670.685,2147.975,0,0,0
666,782.7344054,0.4716107,0,0,0,4648.511,6084.804,5808.6455,0,0,0
682,106.951101,0.47174066,2694.4585,1902.3717,2866.9243,64837.617,61809.05,52122.84,2278.8066,2766.2048,2521.9502
494,718.8406096,0.47174877,988.8416,340.6882,873.63763,10713.556,6863.24,2921.2842,260.77,1250.978,359.58826
595,766.7580388,0.47290426,0,93.28896,0,12373.569,12636.346,9389.295,0,0,0
706,190.9121332,0.47357464,0,0,0,67614.01,74072.17,74684.875,0,0,0
707,206.8861379,0.47357464,0,0,0,14879.603,17716.625,20792.42,0,0,0
708,274.8734403,0.47357464,0,0,0,96319.195,107645.516,116041.13,0,0,0
670,292.845573,0.47357464,0,0,0,2412.245,3181.298,4814.8105,0,0,0
713,344.8591293,0.47357464,0,0,0,8312.57,8334.354,9537.648,0,0,0
727,404.8299677,0.47357464,0,0,0,2182.5737,4145.654,2920.3484,0,0,0
716,478.8363216,0.47357464,0,0,0,61820.727,65949.484,56277.02,0,0,0
718,510.7841925,0.47357464,0,0,0,4536.627,5934.5444,7354.0454,0,0,0
721,630.7864099,0.47357464,0,0,0,15443.925,16686.71,14283.682,0,0,0
722,646.7603186,0.47357464,0,0,0,4935.3677,6018.0815,6384.502,0,0,0
679,648.758431,0.47357464,0,0,0,1144.429,2144.3499,2416.302,0,0,0
696,714.7471023,0.47357464,0,0,0,4479.081,6090.205,6274.9927,0,0,0
680,716.7441201,0.47357464,0,0,0,1156.5884,1722.5405,2409.3774,0,0,0
678,580.7708667,0.47361842,0,0,0,1578.8129,1853.9,2176.4429,0,0,0
762,443.8147823,0.47367254,0,0,0,1178.3903,2172.1526,3010.5317,0,0,0
741,174.9384519,0.47380993,3035.2537,3171.209,1427.9619,79174.55,77884.62,61949.473,2370.1992,3426.3828,3091.9924
562,870.7893776,0.47438344,0,50.327805,0,6833.024,4742.352,2111.0745,0,0,0
714,358.8365476,0.4751253,0,0,34.00107,7012.4824,8619.071,11198.926,0,0,34.649887
519,802.7986114,0.47547117,32.546265,0,0,10307.238,8211.827,3311.32,0,0,0
751,262.0690368,0.4755559,0,0,0,34048.008,35579.902,33241.75,0,0,0
752,266.1600908,0.4755559,0,0,0,49004.176,49557.414,49148.344,0,0,0
694,360.8336324,0.47559413,0,0,0,1856.5037,2871.1982,2724.3113,0,0,0
593,734.8167757,0.4756864,81.62717,0,0,17915.879,13932.242,6424.043,0,121.58739,0
712,342.8629707,0.47674012,0,0,33.468864,35554.566,40591.7,43091.312,48.40165,52.87809,36.016037
664,616.8122822,0.47695607,42.519318,0,0,7310.412,6736.8843,4577.1094,0,0,0
559,736.8112135,0.4769773,0,0,0,2280.2615,2104.5818,926.0176,0,0,29.879314
577,396.8726845,0.4774012,0,0,0,18403.5,18160.467,14882.966,0,50.637733,0
764,196.8781231,0.4775851,0,0,0,1323.884,2396.1223,3769.9695,0,0,0
758,342.1397742,0.47758165,0,0,0,7421.1035,7534.9507,7146.8984,0,0,0
332,200.0411442,0.478548,0,118.80852,0,21663.76,20797.195,18239.576,0,34.75656,0
768,257.8628099,0.4795629,0,0,0,13172.055,15590.971,17241.957,0,0,0
767,336.8407108,0.47999245,0,0,0,5379.1455,5231.9976,8386.443,46.586517,49.861595,0
770,246.0956237,0.48034188,0,0,0,15858.377,13480.865,14748.829,0,71.53369,0
371,220.1063036,0.4814284,75.307816,91.16147,38.62521,2892.5862,2697.1038,754.34314,89.96423,118.86673,40.80903
426,351.9896078,0.48155856,0,0,0,5143.2354,5641.3066,4334.4507,0,0,31.772398
772,364.1217446,0.48163366,0,0,0,5890.0713,6203.04,3649.2834,0,0,0
486,724.7817932,0.48294216,0,47.54029,0,4525.6484,2497.9946,1351.5704,0,0,45.72715
783,180.9043515,0.48410183,109.54852,164.05386,205.65413,5789.17,7303.3057,6545.5156,166.43222,263.9084,383.1085
705,122.9250312,0.48453605,111.29823,78.65481,48.805084,229664.6,255234.98,255296.56,38.818855,127.03032,124.58688
575,328.8830178,0.48578387,0,36.481735,0,11615.351,11493.09,9686.152,0,0,34.93048
652,198.1238967,0.48615366,52.83433,57.87082,60.666008,11075.227,11961.366,9720.839,51.81099,114.11362,44.813065
578,412.8470423,0.48782694,0,0,88.63995,13600.585,15040.814,14096.297,0,0,0
939,280.0925202,0.48817444,75.04874,62.57342,48.572166,443688,452335.62,414429.94,42.604115,36.388844,64.967545
605,428.8191682,0.49081343,0,0,36.009125,3881.9854,5123.627,5855.401,0,0,0
370,178.0590941,0.49534574,59.383034,156.33215,81.93879,35923.117,35004.36,31753.264,192.9599,88.48416,94.00292
