"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"2405",216.95085,0.42,29938,30227,22294,27456,23475,28724,531599,636234,698264
"2406",217.08153,9.209,2065,9073,1844,5608,2147,1872,108448,112865,71249
"2407",217.09747,1.893,31347,15779,13507,25967,17745,32257,54539,59110,66766
"2408",217.0975,2.255,30389,27769,19772,30881,29015,20981,9717474,9921414,9181038
"2409",217.10114,6.25,115713,70149,95263,79497,101079,87467,98212,105320,82989
"2410",217.10521,11.641,2713754,2820418,2880047,2558126,2671989,2540019,2854980,2772888,2515664
"2411",217.10541,1.592,201176,318741,152635,141415,133342,122970,191233,174879,229896
"2412",217.10582,5.22,61473,45998,44483,23491,19725,32782,61437,71513,30192
"2413",217.10762,1.063,1981,8225,2128,1501,3343,7184,191913,203495,184170
"2414",217.12961,0.575,0,0,0,0,0,1850,12131592,12038688,12393188
"2415",217.12987,0.803,0,0,0,0,1798,0,1593174,1719326,1529842
"2416",217.14398,6.287,63421,81012,74109,66937,60010,67994,73483,68575,77331
"2417",217.15907,5.751,4121,1406,2930,1360,1305,3016,101808,96443,93293
"2418",217.19151,3.06,1299468,76691,21627,0,0,0,0,0,1717
"2419",217.19556,7.036,430123,14386,20746,0,0,0,1820,0,0
"2420",217.19568,7.122,433682,18025,17944,0,0,0,1820,0,0
"2421",217.19582,6.262,382470,31943,32935,0,0,0,3775,1877,1480
"2422",217.19583,6.126,496604,31253,33770,0,0,0,0,1877,0
"2423",217.19585,6.338,829509,71096,69655,0,0,0,3775,0,2416
"2424",217.98936,0.418,44685,17764,27670,10206,23341,35343,193648,242950,248607
"2425",217.99838,0.523,49023,23008,21180,42154,24962,40750,472733,537224,704462
"2426",218.04283,0.476,0,0,0,0,0,0,3178619,3031270,3025948
"2427",218.07721,2.251,171947,3611,7116,0,0,0,0,0,0
"2428",218.0878,0.879,0,0,0,0,0,0,105612,120468,109846
"2429",218.10274,2.094,3456,5816,5037,8045,8696,2382,143601,158578,142811
"2430",218.13904,4.232,346333,420359,404080,355891,342792,398069,453025,435792,413137
"2431",218.13905,5.93,90315,41999,79663,47931,38179,56787,111687,152608,269104
"2432",218.13913,3.444,70800,137256,150312,181882,106158,155218,118481,183045,78973
"2433",218.13927,7.546,301869,39309,114390,37484,37761,49738,67294,44852,49083
"2434",218.1394,2.459,6219750,572091,692263,126189,177587,202152,351615,95599,128838
"2435",218.13945,2.263,632097,186343,307792,151782,254911,318872,153208,190588,151600
"2436",218.17581,4.468,113239,12998,7471,9032,8537,4070,6249,14482,5394
"2437",218.21187,3.529,1816652,1788381,1680300,1697802,1707034,1706014,1983967,1983505,1932008
"2438",218.97528,0.673,206376,227045,261664,35027,112508,50401,68500,116683,74295
"2439",218.98256,0.808,34205,63892,48901,46190,15520,23116,235161,191269,241578
"2440",218.98373,0.418,3191,4118,6424,5276,7384,15185,719272,1018443,1105868
"2441",219.02675,0.536,19908,20691,46011,38300,47702,48335,4639217,4564794,4157725
"2442",219.06085,10.185,49157,46389,39759,41528,39119,49457,51167,66726,55097
"2443",219.07626,1.823,0,0,0,0,0,0,67115,80587,69651
"2444",219.09789,0.583,0,0,0,0,0,0,2883598,3106693,2963373
"2445",219.09956,3.499,5402,8533,4913,5930,1553,5210,3762708,3934502,3742322
"2446",219.09981,3.232,10293,10714,9699,18762,10748,10146,184508,165601,169112
"2447",219.09993,4.141,123826,138716,130790,118894,123580,136070,130594,136412,117383
