Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
10673,586.2699546,0.2699546000000055,4.7142906,0,0,0,398287.6,442528.7,415788.78,0,0,0,TRUE
10674,607.1970028,0.19700279999995018,4.714291,0,0,0,3273.8699,3560.442,3543.0215,0,0,0,TRUE
10682,613.2077058,0.20770579999998517,4.716276,0,0,0,7881.7007,7984.6685,7401.296,0,0,0,TRUE
10687,591.2255081,0.22550809999995636,4.7163215,0,0,0,28921.5795,31506.391000000003,30138.3265,0,0,0,TRUE
10702,515.2111747,0.21117470000001504,4.718307,0,0,0,13689.574,15671.981,14986.383,0,0,0,TRUE
10708,573.2153488,0.21534880000001522,4.7183547,0,0,0,1772.0435,2004.1343,1892.9376,0,0,0,TRUE
10720,433.238336,0.23833600000000388,4.7203355,0,0,0,14638.366,17679.137,15213.443,0,0,0,TRUE
10721,525.2259691,0.225969100000043,4.7203307,0,0,0,13995.346,15580.989,13980.732,0,0,0,TRUE
10726,995.5145899,0.5145899000000327,4.7203403,0,0,0,2213.4067,2963.106,2095.9663,0,0,0,TRUE
10727,595.1967062,0.19670619999999417,4.720383,0,0,0,859.23,1147.2523,1114.1023,0,0,0,TRUE
10730,821.3617584,0.36175839999998516,4.722364,0,0,0,2077.163,2271.367,1359.4174,0,0,0,TRUE
10764,493.256991,0.2569910000000277,4.7507057,0,0,0,39623.95,43159.836,36173.227,0,0,0,TRUE
10772,509.2278049,0.22780490000002374,4.7527404,0,0,0,9074.808,9188.476,8782.529,0,0,0,TRUE
10789,609.216221,0.21622100000001865,4.7594395,0,0,0,685.7359,743.91064,785.8024,0,0,0,TRUE
10793,553.2480103,0.24801030000003266,4.7615085,0,0,0,25587.11,28092.262,27475.646,0,0,0,TRUE
10795,615.2229484,0.2229483999999502,4.763552,0,0,0,2013.4545,2340.4255,2349.609,0,0,0,TRUE
108,148.0277472,0.0277471999999932,0.3691534,110.230865,127.83077,219.25595,5474.0723,5833.597,7037.8867,172.29855,152.28918,184.22408,TRUE
10804,591.2862219,0.2862218999999868,4.7635674,0,0,0,814.474,687.1534,683.3499,0,0,0,TRUE
10825,549.2166769,0.21667690000003859,4.7814236,0,0,0,11780.204,13754.421,13625.229,0,0,0,TRUE
10826,566.2438555,0.24385549999999512,4.781441,0,0,0,1433.4,1726.692,1629.3053,0,0,0,TRUE
10827,607.2213818,0.2213818000000174,4.783207,0,0,0,1013.44366,1254.4989,1005.6825,0,0,0,TRUE
10829,531.2058325,0.20583250000004227,4.783506,0,0,0,743.77454,982.0302,772.0734,0,0,0,TRUE
10832,584.2551808,0.25518079999994825,4.78527,0,0,0,8865.407,10786.378,8412.529,0,0,0,TRUE
10838,567.2269464,0.22694639999997435,4.788793,0,0,0,4315.548,4777.9766,4548.4473,0,0,0,TRUE
10840,629.2032169,0.20321690000002945,4.7891583,0,0,0,976.2051,1144.1641,1047.0582,0,0,0,TRUE
10841,595.2594467,0.25944670000001224,4.789169,0,0,0,2727.1997,3243.0728,3196.5876,0,0,0,TRUE
10844,612.2861582,0.2861582000000453,4.790952,0,0,0,3968.9055,4368.895,4217.881,0,0,0,TRUE
1090,293.0635919,0.06359190000000581,0.53625244,0,0,0,84436.22,101394.93,107089.91,0,0,0,TRUE
10935,659.3429004,0.34290039999996225,4.841546,0,0,0,12683.213,14665.616,14201.929,0,0,0,TRUE
10946,654.3871956,0.38719560000004094,4.8461685,0,0,0,108490.52,121591.89,112513.555,0,0,0,TRUE
10951,488.3014993,0.30149929999998903,4.84823,0,0,0,20621.158,23695.783,20194.291,0,0,0,TRUE
10964,619.3512125,0.35121249999997417,4.8514867,0,0,0,2131.1804,2356.111,2164.5532,0,0,0,TRUE
10988,607.1988425,0.19884249999995518,4.8555713,0,0,0,23641.93,25287.943,22725.127,0,0,0,TRUE
10992,593.2245607,0.22456069999998363,4.855602,0,0,0,11263.492,13038.891,11472.139,0,0,0,TRUE
11017,515.2108924,0.21089240000003429,4.857624,0,0,0,456348.22,529004.6,482789.1,0,0,0,TRUE
11018,591.2250755,0.22507550000000265,4.857619,0,0,0,126481.45,141622.02,128056.24,0,0,0,TRUE
11020,533.2191588,0.21915879999994559,4.8576255,0,0,0,24210.986,28963.61,24923.773,0,0,0,TRUE
11024,861.8719348,0.8719347999999627,4.8576546,0,0,0,11163.0258,12256.2266,10704.0926,0,0,0,TRUE
11038,609.1985673,0.19856730000003608,4.8596497,0,0,0,3131.0676,3669.9797,3258.9768,0,0,0,TRUE
11042,568.2592105,0.2592104999999947,4.859663,0,0,0,183735.39,205378.12,190179.25,0,0,0,TRUE
11054,1154.504303,0.5043029999999362,4.8596783,0,0,0,58885.223,69545.66,59541.42,0,0,0,TRUE
1106,120.0660553,0.06605530000000215,0.5438544,1342.704,432.3142,1783.5826,329287.2,349096.6,318192.1,765.5532,1594.5078,1546.4343,TRUE
11067,417.2430593,0.24305930000002718,4.8616967,0,0,0,49323.465,55673.25,50088.98,0,0,0,TRUE
11070,881.3715879,0.37158790000000863,4.8616867,0,0,0,10539.1064,12339.946800000002,10550.5184,0,0,0,TRUE
11110,453.263872,0.2638719999999921,4.867782,0,0,0,23422.613,25485.23,23167.592,0,0,0,TRUE
11116,351.2162524,0.21625239999997348,4.873534,375.0962,507.69162,208.10806,12981.524,13816.377,12565.988,494.63068,387.81418,480.0866,TRUE
11128,435.2539331,0.25393309999998337,4.871877,0,0,0,53690.87,64446.215,55780.008,0,0,0,TRUE
11137,613.2073266,0.2073265999999876,4.8739166,0,0,0,31013.975,33492.363,32390.412,0,0,0,TRUE
11154,638.3922588,0.392258800000036,4.875965,0,0,0,31280.701,36755.45,35401.293,0,0,0,TRUE
11159,643.3476184,0.34761839999998756,4.8780046,0,0,0,3592.8054,4408.265,4218.2812,0,0,0,TRUE
11175,493.2562813,0.2562813000000119,4.888106,0,0,0,21401.932,24744.9,22695.555,0,0,0,TRUE
11185,509.2290517,0.22905170000001362,4.896267,0,0,0,3596.2478,4723.7,6302.491,0,0,0,TRUE
11206,525.2262718,0.2262717999999495,4.939553,0,0,0,1339.5104,1290.9004,1231.0269,0,0,0,TRUE
11220,504.2966174,0.29661740000000236,4.9144573,0,0,0,10434.747,11699.266,10640.267,0,0,0,TRUE
11246,511.2674536,0.2674536000000103,4.9266315,0,0,0,6270.335,6822.0938,5807.8867,0,0,0,TRUE
11256,527.2421591,0.24215909999998075,4.928706,0,0,0,1970.919,2204.9177,2140.8354,0,0,0,TRUE
