"row ID","row m/z","row retention time","row ion mobility","row ion mobility unit","row CCS","correlation group ID","annotation network number","best ion","auto MS2 verify","identified by n=","partners","neutral M mass","Orbi_P_E2_EXBLANKA.mzML Peak area","Orbi_P_E2_EXBLANKB.mzML Peak area","Orbi_P_E2_EXBLANKC.mzML Peak area","Orbi_P_E2_WS03A.mzML Peak area","Orbi_P_E2_WS03B.mzML Peak area","Orbi_P_E2_WS03C.mzML Peak area","Orbi_P_E2_Wasteblank4.mzML Peak area","Orbi_P_E2_Wasteblank5.mzML Peak area","Orbi_P_E2_Wasteblank6.mzML Peak area","...23"
151,267.013130593126,0.4157178,"","","","31","9","[2M+H]+","","2","177;151","133.00239",0,0,0,2723.7239,3970.5415,4269.1978,0,0,0,""
162,287.95980060414,0.4157178,"","","","31","29","[M-H+2Na]+","","2","162;144","242.9892",0,0,0,267.51688,801.09204,850.09436,0,0,0,""
183,125.038364753162,0.4177413,"","","","31","24","[M+NH4]+","","2","183;246","107.00407",0,0,0,383.08377,773.139,737.65936,0,0,0,""
191,220.981024334176,0.4177358,"","","","31","35","[M+H]+","","2","120;191","219.9733",0,0,0,2952.0037,4687.641,4438.8076,0,0,0,""
196,261.005747010481,0.4177358,"","","","31","28","[M+H]+","","2","83;196","259.99841",0,0,0,564.07983,830.8927,963.6001,0,0,0,""
160,263.981572111521,0.4177358,"","","","31","17","[M+Na]+","","2","160;141","240.99239",0,0,0,125.118866,336.33862,401.0488,0,0,0,""
197,265.015932630043,0.4177358,"","","","31","","","","","","",0,0,0,10123.854,14636.74,15814.007,0,0,0,""
225,117.990934553837,0.41974902,"","","","31","36","[M+H-H2O]+","","2","225;240","134.99438",0,0,0,651.444,886.1745,962.5361,0,0,0,""
167,240.953332780735,0.4197483,"","","","31","34","[M+NH4]+","","2","167;221","222.91965",0,0,0,480.50067,666.5208,824.61273,0,0,0,""
212,241.015025666753,0.4197483,"","","","31","18","[M+NH4]+","","2","212;141","222.98153",0,0,0,287.9682,373.6661,410.8645,0,0,0,""
221,245.909007562559,0.41976008,"","","","31","34","[M+Na]+","","2","167;221","222.91965",0,0,0,622.27893,775.3396,585.78656,0,0,0,""
240,292.978302789724,0.42177263,"","","","31","36","[2M+Na]+","","2","225;240","134.99438",0,0,0,219.93365,957.32916,1120.7932,0,0,0,""
105,124.023908896031,0.4225952,"","","","31","22","[M+H-H2O]+","","2","84;105","141.02778",22.622849,31.981846,0,838.3639,1257.3373,1233.388,23.982716,0,28.489962,""
234,266.927645898923,0.42925322,"","","","31","33","[2M+K]+","","2","234;226","113.98149",57.06646,40.08674,28.873066,1778.0198,2289.823,2304.0967,150.84363,60.50164,36.378616,""
193,242.00045848584,0.42936942,"","","","31","","","","","","",40.96984,156.0605,80.20308,31426.334,45636.75,49128.844,190.38234,95.31198,33.71557,""
120,242.961503921618,0.43038097,"","","","31","35","[M+Na]+","","3","109;120;191","219.9733",0,0,0,157.07758,536.5842,743.55554,0,0,0,""
208,196.007234466086,0.43150482,"","","","31","23","[M+H]+","","2","189;208","195.00015",0,24.728254,0,201.97794,961.9901,330.47263,33.395912,0,0,""
199,284.938540882874,0.4369203,"","","","31","40","[M+K]+","","3","237;199;276","245.97345",59.845184,233.51083,173.71143,4573.3223,5842.5093,5607.004,319.17645,144.6711,142.76582,""
658,192.911037046258,0.4428637,"","","","31","41","[M+K]+","","2","570;658","153.9475",27.453178,0,37.523033,9454.398,9755.414,10422.975,33.961235,35.89572,0,""
276,268.962058175031,0.44978973,"","","","31","40","[M+Na]+","","2","199;276","245.97345",1269.1515,896.41345,641.25305,7799.654,10229.612,11056.111,991.09705,1259.4729,381.1018,""
511,600.833975223218,0.4498976,"","","","31","65","[M+Na]+","","2","664;511","577.84694",33.937645,0,78.44682,6126.6543,5379.077,3260.9893,22.756504,296.07767,0,""
717,494.81124682781,0.45142445,"","","","31","217","[2M+Na]+","","2","708;717","235.91003",29.434803,0,0,20651.725,26062.617,27514.535,0,0,29.57887,""
