"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"8471",488.2272,5.966,0,0,0,0,0,0,951164,1084042,1022764
"8476",488.29886,4.267,0,0,0,0,0,0,104011,109155,90199
"8478",488.30133,4.402,0,0,0,0,0,0,278049,298035,260538
"8479",488.30148,5.964,0,0,0,0,0,0,149000880,172078608,155985584
"8480",488.30151,4.851,0,0,0,0,0,0,1227339,1430660,1220060
"8481",488.30151,6.38,0,0,0,0,0,0,531072,545949,328001
"8482",488.30157,5.437,0,0,0,0,0,0,779692,828855,736450
"8483",488.30161,5.574,0,0,0,0,0,0,7894320,8522886,7375648
"8484",488.3017,5.775,0,0,0,0,0,0,20234474,21980586,20158308
"8485",488.30176,3.559,5409,1447,3688,2027,1895,3719,153002,165242,162499
"8487",488.30212,6.854,0,0,0,0,0,0,166432,173283,169296
"8490",488.37503,5.775,0,0,0,0,0,0,106139,132866,116797
"8496",489.17258,2.346,0,0,0,0,0,0,126968,136798,126874
"8499",489.23163,3.743,0,0,0,0,0,0,124573,114462,101368
"8500",489.28381,3.737,0,0,0,1898,2063,0,157579,99439,101851
"8513",490.06784,1.848,0,0,0,0,0,0,255865,311445,303303
"8514",490.17667,0.55,0,0,0,0,0,0,5008376,5663604,5077618
"8515",490.19296,2.92,0,0,0,0,0,0,25186,42731,30731
"8516",490.22949,2.846,0,0,0,0,0,0,1301954,1281465,1173384
"8518",490.26431,3.609,0,1401,0,0,0,0,97171,87058,92134
"8520",490.31757,5.122,87480,0,2004,0,0,0,364706,407795,370300
"8529",491.2175,6.115,0,0,0,0,0,0,150496,151760,118235
"8533",491.24014,4.569,0,0,0,0,0,0,71559,87764,73969
"8534",491.24109,5.761,0,0,0,0,0,0,396208,442783,393980
"8535",491.24112,4.827,0,0,0,0,0,0,207318,214619,179919
"8536",491.24127,5.351,0,0,0,0,0,0,282203,352235,282695
"8537",491.24146,5.221,0,0,0,0,0,0,520450,603882,547954
"8539",491.24255,6.069,0,0,0,0,0,0,330607,358296,326769
"8551",492.17203,1.589,0,0,0,0,0,0,120139,141439,126213
"8552",492.17776,4.35,0,0,0,0,0,0,684222,778260,726982
"8554",492.20807,2.299,0,0,0,0,0,0,151806,189543,150712
"8555",492.20859,2.547,0,0,0,0,0,0,84341,105979,100216
"8557",492.24487,5.4,0,0,0,0,0,0,112489,91205,72789
"8571",493.23599,6.828,0,0,0,0,0,0,1225530,1195670,1103457
"8575",493.25647,4.888,0,0,0,0,0,0,985424,1136614,1019100
"8576",493.2565,4.39,0,1299,0,0,0,0,326849,358439,324025
"8581",493.25732,4.751,0,0,0,0,0,0,2375870,2601144,2182900
"8592",494.23935,3.24,0,0,0,0,0,0,67748,62431,44772
"8596",495.1116,1.991,0,0,0,0,0,0,155860,168095,152760
"8599",495.27271,5.129,0,0,0,0,0,0,247774,281457,230587
"8613",496.341,7.648,0,0,3560,1415,0,1622,2460378,2493224,2282035
"8614",496.34149,7.459,0,0,0,0,0,0,354426,361719,348841
"8627",497.29086,7.779,0,0,0,0,0,0,75133,67604,67616
"8628",497.29099,7.559,0,0,0,0,0,0,1285189,1221451,1073592
"8634",498.14941,0.579,0,0,0,0,0,0,84627,74268,95817
"8636",498.1745,3.153,0,0,0,0,0,0,197336,206196,174795
"8671",500.30179,6.074,0,0,0,0,0,0,57946,64121,52583
"8673",500.33768,6.795,0,0,0,0,0,0,89235,102432,82504
"8675",500.33795,6.97,0,0,0,0,0,0,85858,78508,62447
"8685",501.13602,1.819,0,0,0,0,0,0,50151,36138,31875
"8687",501.19589,2.282,0,0,0,0,0,0,84723,88987,66788
"8695",502.28134,4.854,0,0,0,0,0,0,88834,118430,95613
"8701",502.3179,4.752,0,0,0,0,0,0,50964,55258,48764
"8719",504.29633,5.215,0,0,0,0,0,0,769910,788177,706100
"8720",504.29642,4.192,0,0,0,0,0,0,614464,656648,533197
"8722",504.29672,4.915,0,0,0,0,0,0,630486,712644,629340
"8723",504.29675,5.708,0,0,0,0,0,0,1276873,1325537,1298794
"8724",504.29678,4.542,0,0,0,0,0,0,1264789,1463459,1271597
"8726",504.29688,5.015,0,0,0,0,0,0,644255,735492,584940
"8729",504.3183,6.616,3268,1726,3852,1294,2511,5960,278891,319894,289733
"8749",506.18826,1.801,0,0,0,0,0,0,147266,128999,130945
"8755",506.31165,4.86,0,0,0,0,0,0,344718,405959,306515
"8759",506.31293,3.851,0,10002,8154,0,0,0,145189,150746,122970
"8769",507.21201,5.355,0,0,0,0,0,0,77971,101024,98046
"8777",507.2366,4.35,0,0,0,0,0,0,544655,594513,515987
"8791",508.18149,2.195,0,0,0,0,0,0,178562,157261,152980
"8792",508.2034,1.976,0,0,0,0,0,0,207948,203263,211958
"8793",508.32913,4.349,0,0,0,0,0,0,58618,59523,51894
"8804",509.15277,5.25,0,0,0,0,0,0,117206,154727,186185
"8807",509.20102,3.444,0,0,0,0,0,0,83556,91875,96886
"8808",509.22769,4.759,0,0,0,0,0,0,544409,567064,527715
"8809",509.22885,4.894,0,0,0,0,0,0,230256,291089,296767
"8816",509.23657,2.952,0,0,0,0,0,0,117601,112877,114484
"8821",509.25305,4.451,0,0,0,1225,0,0,1175916,823013,1082394
"8822",509.25333,4.718,0,0,0,0,0,0,1958070,2196793,1936208
"8823",509.25369,5.01,0,0,0,0,0,0,325609,397518,302603
"8833",510.35724,8.143,0,2515,0,0,0,0,43243,49974,36423
"8834",510.36542,8.359,0,0,0,0,0,0,147830,155748,134573
"8844",511.19418,3.202,0,0,0,0,0,0,61444,53109,67370
"8847",511.26782,4.58,0,0,0,0,0,0,408691,454815,391728
"8848",511.26785,4.253,0,0,0,0,0,0,147647,152062,136229
"8850",511.26791,4.494,0,0,0,0,0,0,1354591,1576259,1405599
"8851",511.2681,4.929,0,0,0,0,0,0,376720,408213,358171
"8858",512.19812,0.985,0,0,0,0,1421,0,51535,52956,50651
"8859",512.27124,2.543,0,0,0,0,0,0,205531,214465,197473
"8860",512.27252,2.606,0,0,0,0,0,0,95749,107709,103584
"8866",513.12567,0.54,0,0,0,0,0,0,354886,425941,326759
"8868",513.15875,2.186,0,0,0,0,0,0,315446,302802,193824
"8870",513.19629,4.4,0,0,0,0,0,0,37168,37137,39498
"8872",513.28564,6.145,0,0,0,0,0,0,167936,194934,170840
"8874",513.28613,6.541,0,0,0,0,0,0,106911,98414,93605
"8876",513.28632,6.441,0,0,0,0,0,0,187975,227635,181195
"8877",513.29694,7.035,0,0,0,0,0,0,43300,39573,25122
"8878",513.30621,5.377,0,0,0,0,0,0,62127,77838,68043
"8879",513.30688,5.835,0,0,0,0,0,0,214901,222257,224585
"8886",514.14789,2.979,0,0,0,0,0,0,331784,320260,292606
"8887",514.19354,2.103,0,0,0,0,0,0,47687,45063,51636
"8897",515.09442,0.587,0,0,0,0,0,0,284987,402317,510278
"8908",516.2312,1.649,0,0,0,0,0,0,59364,58027,51649
"8917",517.22668,5.145,0,0,0,0,0,0,861163,951506,937312
"8926",518.32532,6.694,0,3169,0,0,0,0,238326,210492,212553
"8927",518.32556,6.842,0,0,0,0,0,0,1499122,1547816,1414684
"8931",519.19873,3.128,0,0,0,0,0,0,737728,746053,701118
"8932",519.19891,2.654,0,0,0,0,0,0,121871,116887,113685
"8934",519.19952,2.948,0,0,0,0,0,0,102334,91696,82678
"8936",519.27289,7.216,0,0,0,0,0,0,916344,861140,763761
"8940",520.18317,3.944,0,0,0,0,0,0,56936,61464,50597
"8942",520.29205,4.4,0,0,0,0,0,0,133279,143284,122268
"8949",520.34052,7.162,10681,12733,3395,30352,5512,18749,170042,167576,176632
"8950",520.34113,7.318,11880,10336,24032,8421,25164,14869,984089,981455,928739
"8951",520.35028,3.637,0,0,0,0,0,0,93389,99601,84655
"8958",521.25836,5.687,0,0,0,0,0,0,1332759,1392233,1392973
"8959",521.25854,5.217,0,0,0,0,0,0,78496,91539,78615
"8968",522.16272,2.604,0,0,0,0,0,0,55804,56081,50643
"8969",522.18848,4.498,0,0,0,0,0,0,108601,138714,134483
"8971",522.19647,2.734,0,2151,1300,0,0,0,75038,80123,74495
"8975",522.30548,3.824,0,0,0,0,0,0,34153,31823,30743
"8984",523.19177,3.327,0,0,0,0,0,0,29438,33702,33866
"8994",524.19818,0.579,0,0,0,0,0,0,307724,311662,265859
"8999",524.37231,8.654,0,0,0,0,0,0,339589,365626,296378
"9005",525.13904,3.871,0,0,0,0,0,0,52578,60574,60904
"9008",525.22601,4.482,0,0,0,0,0,0,571797,614274,566811
"9012",525.22614,5.308,0,0,0,0,0,0,229221,276258,269192
"9014",525.24719,4.062,0,0,0,0,0,0,237497,239787,222773
"9015",525.24756,3.982,0,0,0,0,0,0,130301,151764,126572
"9018",525.30505,3.633,0,0,0,0,0,0,160452,144306,123449
"9022",526.18347,3.064,0,0,0,0,0,0,233945,267345,238532
"9023",526.18353,3.155,0,0,0,0,0,0,246579,278937,234485
"9025",526.25861,3.371,0,0,0,0,0,0,38078,48010,45806
"9030",527.11768,1.809,0,0,0,0,0,0,24803,27914,35187
"9032",527.16119,9.209,0,0,0,0,0,0,77328,68348,64977
"9035",527.23364,1.92,0,0,0,0,0,0,62202,77484,69876
"9040",527.24536,5.324,0,0,0,0,0,0,347795,341951,366110
"9041",527.263,3.757,0,0,0,0,0,0,456480,461793,424386
"9047",528.18604,3.195,0,0,0,0,0,0,66129,60939,42888
"9048",528.2298,3.064,0,0,0,0,0,0,261090,277726,207893
"9049",528.29706,6.295,0,0,0,0,0,0,226407,243629,209232
"9062",529.336,4.444,0,0,0,0,0,0,92844,93653,85693
"9068",530.31146,6.034,0,0,0,0,0,0,41753,64765,42377
"9070",530.31274,6.363,0,0,0,0,0,0,1819688,1864995,1682656
"9077",531.20599,3.733,0,0,0,0,0,0,991657,923639,849543
"9084",531.30688,5.264,0,0,0,0,0,0,2521510,2764946,2273130
"9085",531.30719,5.962,0,0,0,0,0,0,1835046,2174496,2206430
"9086",531.30774,5.775,0,0,0,0,0,0,421205,471868,393992
"9088",531.35095,4.384,0,0,0,0,0,0,71716,74099,56188
"9091",532.19525,3.916,0,0,0,0,0,0,111434,105501,101851
"9093",532.31299,3.873,0,0,0,0,0,0,208219,219896,199997
"9095",532.328,3.374,0,0,0,0,0,0,139473,135606,98989
"9096",532.32892,3.439,0,0,0,0,0,0,105274,123348,131585
"9097",532.32947,3.717,0,1423,0,0,0,0,86540,86949,85134
"9098",532.34888,7.286,0,0,0,0,1998,0,204484,208441,174109
"9099",532.34961,7.437,0,0,0,0,0,0,1507958,1647586,1469838
"9109",533.2215,4.054,0,0,0,0,0,0,871012,984893,961274
"9111",533.22174,3.469,0,0,0,0,0,0,137262,137550,113300
"9112",533.22186,4.126,0,0,0,0,0,0,365263,396738,360131
"9121",534.28351,5.966,0,0,0,0,0,0,1217311,1495359,1376784
"9125",534.31982,5.443,0,0,0,0,0,0,199042,212326,196327
"9126",534.32861,3.737,0,0,0,1342,0,0,75714,72539,71097
"9128",534.36389,7.964,0,0,0,0,0,0,137913,126989,119659
"9130",535.19379,2.698,0,0,0,0,0,0,141412,141855,129748
"9131",535.2356,3.955,0,0,0,0,0,0,228212,268947,261738
"9132",535.23688,4.381,0,0,0,0,0,0,197466,237163,203215
"9135",535.23737,4.612,0,0,0,0,0,0,1463755,1697427,1588665
"9136",535.23743,4.554,0,0,0,0,0,0,2006946,2248275,2020289
"9138",535.26788,6.303,0,0,0,0,0,0,1241908,1373295,1175419
"9140",535.271,10.587,0,0,0,0,0,0,876608,971653,653911
"9141",535.27618,3.104,0,0,0,0,0,0,589815,641344,574012
"9149",536.19812,1.788,0,0,0,0,0,0,31722,40496,29945
"9150",536.19861,2.312,0,0,0,0,0,0,152669,163596,132085
"9151",536.21851,0.527,0,0,0,0,0,0,47296,72504,80300
"9154",536.33429,5.828,0,0,0,0,0,0,56404,59733,54789
"9155",536.33569,5.74,0,0,0,0,0,0,72121,78672,77347
