Pathway,Mummichog_Pvals,GSEA_Pvals,Combined_Pvals,Run,N_features
Vitamin B9 (folate) metabolism,0.03207,0.625,0.09842,214,1927
Purine metabolism,0.2405,0.02667,0.0388,215,1927
Vitamin B9 (folate) metabolism,0.1685,0.8158,0.4103,215,1927
Purine metabolism,0.3492,0.02597,0.05172,216,1927
Vitamin B9 (folate) metabolism,0.1182,0.5962,0.2574,216,1927
Purine metabolism,0.01337,0.01163,0.00152,217,1927
Vitamin B9 (folate) metabolism,0.122,0.8361,0.3348,217,1927
Purine metabolism,0.0935,0.04762,0.02856,218,1927
Vitamin B9 (folate) metabolism,0.2328,0.6545,0.439,218,1927
Purine metabolism,0.1442,0.07792,0.06167,219,1927
Vitamin B9 (folate) metabolism,0.4322,0.5088,0.5529,219,1927
Purine metabolism,0.03012,0.01316,0.0035,220,1927
Vitamin B9 (folate) metabolism,0.2585,0.9074,0.5747,220,1927
Purine metabolism,0.2204,0.1923,0.1763,221,1927
Vitamin B9 (folate) metabolism,0.1431,0.8276,0.3711,221,1927
Purine metabolism,0.4065,0.1475,0.2287,222,1927
Vitamin B9 (folate) metabolism,0.06684,0.86,0.2217,222,1927
Purine metabolism,0.1516,0.02857,0.0279,223,1927
Vitamin B9 (folate) metabolism,0.09289,0.5238,0.1957,223,1927
Purine metabolism,0.03979,0.1184,0.02995,224,1927
Vitamin B9 (folate) metabolism,0.01986,0.6296,0.06729,224,1927
Purine metabolism,0.6883,0.01515,0.05802,225,1927
Vitamin B9 (folate) metabolism,0.02395,0.7963,0.09457,225,1927
Purine metabolism,0.2953,0.06154,0.091,226,1927
Vitamin B9 (folate) metabolism,0.4723,0.2391,0.3592,226,1927
Purine metabolism,0.143,0.03704,0.03305,227,1927
Vitamin B9 (folate) metabolism,0.03614,0.6852,0.1164,227,1927
Purine metabolism,0.05919,0.03297,0.01413,228,1927
Vitamin B9 (folate) metabolism,0.02042,0.4478,0.05207,228,1927
Purine metabolism,0.03574,0.02857,0.00805,229,1927
Vitamin B9 (folate) metabolism,0.1888,0.931,0.4813,229,1927
Purine metabolism,0.3496,0.04878,0.08649,230,1927
Vitamin B9 (folate) metabolism,0.3892,0.7907,0.6704,230,1927
Purine metabolism,0.4452,0.2895,0.3929,231,1927
Vitamin B9 (folate) metabolism,0.3727,0.8772,0.6924,231,1927
Purine metabolism,0.09065,0.1304,0.06428,232,1927
Vitamin B9 (folate) metabolism,0.1838,0.7959,0.4274,232,1927
Purine metabolism,0.1918,0.01389,0.01846,233,1927
Vitamin B9 (folate) metabolism,0.3484,0.678,0.5771,233,1927
Purine metabolism,0.1718,0.1268,0.1051,234,1927
Vitamin B9 (folate) metabolism,0.4805,0.95,0.8145,234,1927
Purine metabolism,0.2233,0.075,0.08523,235,1927
Vitamin B9 (folate) metabolism,0.1396,0.2742,0.1632,235,1927
Purine metabolism,0.037,0.01149,0.00373,236,1927
Vitamin B9 (folate) metabolism,0.04345,0.5938,0.1202,236,1927
Purine metabolism,0.2021,0.04167,0.04865,237,1927
Vitamin B9 (folate) metabolism,0.2908,0.6136,0.486,237,1927
Purine metabolism,0.7835,0.1091,0.2957,238,1927
Vitamin B9 (folate) metabolism,0.05257,0.7347,0.1643,238,1927
Purine metabolism,0.2539,0.02778,0.04199,239,1927
Vitamin B9 (folate) metabolism,0.05928,0.4559,0.1246,239,1927
Purine metabolism,0.04616,0.01389,0.00536,240,1927
Vitamin B9 (folate) metabolism,0.1314,0.661,0.2991,240,1927
Purine metabolism,0.4153,0.02564,0.05901,241,1927
Vitamin B9 (folate) metabolism,0.2951,0.7778,0.5674,241,1927
Purine metabolism,0.2679,0.0119,0.02151,242,1927
Vitamin B9 (folate) metabolism,0.266,0.7458,0.5193,242,1927
Purine metabolism,0.05081,0.02532,0.00985,243,1927
Vitamin B9 (folate) metabolism,0.1629,0.7037,0.363,243,1927
Purine metabolism,0.05081,0.0625,0.02144,244,1927
Vitamin B9 (folate) metabolism,0.06187,0.8043,0.1991,244,1927
Purine metabolism,0.07311,0.2078,0.0788,245,1927
Vitamin B9 (folate) metabolism,0.1435,0.8387,0.3752,245,1927
Purine metabolism,0.2514,0.01449,0.0241,246,1927
Vitamin B9 (folate) metabolism,0.1057,0.28,0.1338,246,1927
Purine metabolism,0.05686,0.01333,0.0062,247,1927
Vitamin B9 (folate) metabolism,0.04051,0.5088,0.1006,247,1927
Purine metabolism,0.2619,0.03077,0.04691,248,1927
Vitamin B9 (folate) metabolism,0.3999,0.7547,0.6634,248,1927
Purine metabolism,0.02165,0.08108,0.01289,249,1927
Vitamin B9 (folate) metabolism,0.01986,0.5926,0.06405,249,1927
Purine metabolism,0.9367,0.5714,0.8698,250,1927
Vitamin B9 (folate) metabolism,0.2894,0.2542,0.2655,250,1927
Purine metabolism,0.09,0.02469,0.0158,251,1927
Vitamin B9 (folate) metabolism,0.1207,0.3175,0.1634,251,1927
Purine metabolism,0.1309,0.02273,0.02029,252,1927
Vitamin B9 (folate) metabolism,0.1709,0.6977,0.3728,252,1927
Purine metabolism,0.0698,0.01538,0.00841,253,1927
Vitamin B9 (folate) metabolism,0.1463,0.9038,0.3998,253,1927
Purine metabolism,0.2044,0.01205,0.01726,254,1927
Vitamin B9 (folate) metabolism,0.2595,0.5424,0.4167,254,1927
Purine metabolism,0.04423,0.01887,0.00675,255,1927
Vitamin B9 (folate) metabolism,0.233,1,0.5724,255,1927
Purine metabolism,0.2687,0.0122,0.02203,256,1927
Vitamin B9 (folate) metabolism,0.03973,0.7222,0.1306,256,1927
Purine metabolism,0.01227,0.04819,0.00499,257,1927
Vitamin B9 (folate) metabolism,0.1271,0.5098,0.242,257,1927
Purine metabolism,0.1022,0.01299,0.01012,258,1927
Vitamin B9 (folate) metabolism,0.4063,0.8,0.6904,258,1927
Purine metabolism,0.1891,0.02703,0.03208,259,1927
Vitamin B9 (folate) metabolism,0.2519,0.825,0.5343,259,1927
Purine metabolism,0.5166,0.01449,0.04413,260,1927
Vitamin B9 (folate) metabolism,0.2084,0.4545,0.3179,260,1927
Purine metabolism,0.4206,0.03261,0.07255,261,1927
Vitamin B9 (folate) metabolism,0.3887,0.7463,0.649,261,1927
Purine metabolism,0.1271,0.01111,0.01068,262,1927
Vitamin B9 (folate) metabolism,0.311,0.6462,0.5234,262,1927
Purine metabolism,0.4859,0.01562,0.04463,263,1927
Vitamin B9 (folate) metabolism,0.1232,0.7143,0.3019,263,1927
Purine metabolism,0.398,0.02778,0.06086,264,1927
Vitamin B9 (folate) metabolism,0.1245,0.617,0.2739,264,1927
Purine metabolism,0.2317,0.04615,0.05922,265,1927
Vitamin B9 (folate) metabolism,0.3325,0.8036,0.6198,265,1927
Purine metabolism,0.2581,0.07692,0.09766,266,1927
Vitamin B9 (folate) metabolism,0.2488,0.3542,0.3022,266,1927
Purine metabolism,0.02755,0.08929,0.01724,267,1927
Vitamin B9 (folate) metabolism,0.07286,0.3137,0.1092,267,1927
Purine metabolism,0.298,0.03846,0.06267,268,1927
Vitamin B9 (folate) metabolism,0.8284,0.8333,0.9461,268,1927
Purine metabolism,0.01808,0.01099,0.00189,269,1927
Vitamin B9 (folate) metabolism,0.04946,0.5439,0.1242,269,1927
Purine metabolism,0.06976,0.01515,0.0083,270,1927
Vitamin B9 (folate) metabolism,0.1015,0.2097,0.1032,270,1927
Purine metabolism,0.1409,0.1045,0.07684,271,1927
Vitamin B9 (folate) metabolism,0.2218,0.4231,0.3159,271,1927
Purine metabolism,0.5531,0.1739,0.3214,272,1927
Vitamin B9 (folate) metabolism,0.1458,0.5192,0.271,272,1927
Purine metabolism,0.07185,0.0119,0.0069,273,1927
Vitamin B9 (folate) metabolism,0.01986,0.4211,0.04838,273,1927
Purine metabolism,0.0639,0.0119,0.00622,274,1927
Vitamin B9 (folate) metabolism,0.7342,0.8254,0.9095,274,1927
Purine metabolism,0.1682,0.01136,0.01387,275,1927
Vitamin B9 (folate) metabolism,0.02419,0.5342,0.06913,275,1927
Purine metabolism,0.5454,0.03896,0.1031,276,1927
Vitamin B9 (folate) metabolism,0.2646,0.8667,0.5671,276,1927
Purine metabolism,0.08741,0.01538,0.01023,277,1927
Vitamin B9 (folate) metabolism,0.2496,0.3548,0.3032,277,1927
Purine metabolism,0.1994,0.1222,0.1149,278,1927
Vitamin B9 (folate) metabolism,0.1365,0.6429,0.3013,278,1927
Purine metabolism,0.6338,0.0625,0.1675,279,1927
Vitamin B9 (folate) metabolism,0.1039,0.4,0.1737,279,1927
Purine metabolism,0.1608,0.01429,0.01626,280,1927
Vitamin B9 (folate) metabolism,0.02451,0.3385,0.04806,280,1927
Purine metabolism,0.1915,0.02597,0.03135,281,1927
Vitamin B9 (folate) metabolism,0.393,0.8571,0.7034,281,1927
Purine metabolism,0.067780000000000007,0.01351,0.00732,282,1927
Vitamin B9 (folate) metabolism,0.05902,0.3333,0.09696,282,1927
Purine metabolism,0.3582,0.1159,0.1736,283,1927
Vitamin B9 (folate) metabolism,0.3497,0.7674,0.6213,283,1927
Purine metabolism,0.3674,0.08333,0.1374,284,1927
Vitamin B9 (folate) metabolism,0.05832,0.1636,0.05393,284,1927
Purine metabolism,0.265,0.05063,0.07126,285,1927
Vitamin B9 (folate) metabolism,0.09557,0.7037,0.2488,285,1927
Purine metabolism,0.1096,0.02597,0.01954,286,1927
Vitamin B9 (folate) metabolism,0.09796,0.3585,0.1527,286,1927
Purine metabolism,0.3528,0.04348,0.07942,287,1927
Vitamin B9 (folate) metabolism,0.2475,0.8182,0.5259,287,1927
Purine metabolism,0.2554,0.07463,0.09454,288,1927
Vitamin B9 (folate) metabolism,0.3226,0.3158,0.3346,288,1927
Purine metabolism,0.08635,0.01754,0.01135,289,1927
Vitamin B9 (folate) metabolism,0.09833,0.3922,0.1641,289,1927
Purine metabolism,0.1697,0.0125,0.01518,290,1927
Vitamin B9 (folate) metabolism,0.05552,0.4,0.1068,290,1927
Purine metabolism,0.558,0.09589,0.2102,291,1927
Vitamin B9 (folate) metabolism,0.1342,0.72,0.3224,291,1927
Purine metabolism,0.2999,0.01408,0.02731,292,1927
Vitamin B9 (folate) metabolism,0.2822,0.3462,0.325,292,1927
Purine metabolism,0.09469,0.0241,0.01616,293,1927
Vitamin B9 (folate) metabolism,0.00201,0.3333,0.00556,293,1927
Purine metabolism,0.1004,0.03614,0.02401,294,1927
Vitamin B9 (folate) metabolism,0.1266,0.7857,0.329,294,1927
Purine metabolism,0.01944,0.0137,0.00246,295,1927
Vitamin B9 (folate) metabolism,0.1559,0.7,0.3509,295,1927
Purine metabolism,0.263,0.1967,0.205,296,1927
Vitamin B9 (folate) metabolism,0.05412,0.2857,0.07994,296,1927
Purine metabolism,0.02815,0.01299,0.00326,297,1927
Vitamin B9 (folate) metabolism,0.02214,0.6739,0.07767,297,1927
Purine metabolism,0.3578,0.01299,0.02961,298,1927
Vitamin B9 (folate) metabolism,0.2593,0.2963,0.274,298,1927
Purine metabolism,0.5942,0.8767,0.8607,299,1927
Vitamin B9 (folate) metabolism,0.08172,0.6739,0.2147,299,1927
Purine metabolism,0.1821,0.03125,0.03511,300,1927
Vitamin B9 (folate) metabolism,0.3179,0.963,0.6685,300,1927
Purine metabolism,0.1466,0.0375,0.0341,301,1927
Vitamin B9 (folate) metabolism,0.1662,0.7736,0.3924,301,1927
Purine metabolism,0.2116,0.09333,0.09724,302,1927
Vitamin B9 (folate) metabolism,0.147,0.3191,0.1904,302,1927
Purine metabolism,0.02715,0.03896,0.0083,303,1927
Vitamin B9 (folate) metabolism,0.3426,0.6379,0.551,303,1927
Purine metabolism,0.01659,0.0125,0.00197,304,1927
Vitamin B9 (folate) metabolism,0.01778,0.5294,0.05334,304,1927
Purine metabolism,0.2237,0.01449,0.02182,305,1927
Vitamin B9 (folate) metabolism,0.2544,0.4717,0.3745,305,1927
Purine metabolism,0.2437,0.7586,0.497,306,1927
Vitamin B9 (folate) metabolism,0.08485,0.7447,0.2377,306,1927
Purine metabolism,0.679,0.03846,0.1213,307,1927
Vitamin B9 (folate) metabolism,0.01407,0.4655,0.03949,307,1927
Purine metabolism,0.04178,0.04167,0.0128,308,1927
Vitamin B9 (folate) metabolism,0.2634,0.8136,0.5445,308,1927
Purine metabolism,0.071,0.0125,0.00712,309,1927
Vitamin B9 (folate) metabolism,0.06334,0.3214,0.09963,309,1927
Purine metabolism,0.07532,0.05172,0.02551,310,1927
Vitamin B9 (folate) metabolism,0.04878,0.3208,0.0807,310,1927
Purine metabolism,0.4221,0.01587,0.04023,311,1927
Vitamin B9 (folate) metabolism,0.2095,0.4912,0.3369,311,1927
Purine metabolism,0.1754,0.1216,0.1034,312,1927
Vitamin B9 (folate) metabolism,0.0546,0.7551,0.1727,312,1927
Purine metabolism,0.08081,0.0125,0.00798,313,1927
Vitamin B9 (folate) metabolism,0.1202,0.7273,0.3005,313,1927
Purine metabolism,0.5114,0.01639,0.04846,314,1927
Vitamin B9 (folate) metabolism,0.03739,0.2,0.04409,314,1927
Purine metabolism,0.4734,0.02469,0.06369,315,1927
Vitamin B9 (folate) metabolism,0.06255,0.9107,0.2202,315,1927
Purine metabolism,0.02665,0.01299,0.0031,316,1927
Vitamin B9 (folate) metabolism,0.0398,0.6552,0.1212,316,1927
Purine metabolism,0.1671,0.03226,0.03354,317,1927
Vitamin B9 (folate) metabolism,0.06468,0.4615,0.1347,317,1927
Purine metabolism,0.1576,0.01429,0.01598,318,1927
Vitamin B9 (folate) metabolism,0.09257,0.2182,0.09902,318,1927
Purine metabolism,0.5124,0.07143,0.1577,319,1927
Vitamin B9 (folate) metabolism,0.1408,0.9231,0.3951,319,1927
Purine metabolism,0.03783,0.0137,0.00444,320,1927
Vitamin B9 (folate) metabolism,0.1311,0.7843,0.3367,320,1927
Purine metabolism,0.3248,0.0137,0.02855,321,1927
Vitamin B9 (folate) metabolism,0.5986,0.7447,0.8059,321,1927
Purine metabolism,0.06164,0.02439,0.01128,322,1927
Vitamin B9 (folate) metabolism,0.02185,0.8095,0.08906,322,1927
Purine metabolism,0.2864,0.06849,0.09674,323,1927
Vitamin B9 (folate) metabolism,0.07181,0.4194,0.1356,323,1927
Purine metabolism,0.08792,0.01316,0.00898,324,1927
Vitamin B9 (folate) metabolism,0.08038,0.4561,0.1579,324,1927
Purine metabolism,0.115,0.02817,0.0218,325,1927
Vitamin B9 (folate) metabolism,0.03186,0.551,0.08851,325,1927
Purine metabolism,0.2731,0.0122,0.02234,326,1927
Vitamin B9 (folate) metabolism,0.0916,0.8333,0.2727,326,1927
Purine metabolism,0.00965,0.04762,0.00399,327,1927
Vitamin B9 (folate) metabolism,0.2504,0.8654,0.5481,327,1927
Purine metabolism,0.2268,0.01299,0.02012,328,1927
Vitamin B9 (folate) metabolism,0.6838,0.4773,0.6918,328,1927
Purine metabolism,0.09131,0.01852,0.01248,329,1927
Vitamin B9 (folate) metabolism,0.2659,0.7895,0.5376,329,1927
Purine metabolism,0.1135,0.0303,0.02294,330,1927
Vitamin B9 (folate) metabolism,0.03533,0.5532,0.09646,330,1927
Purine metabolism,0.8262,0.07018,0.2231,331,1927
Vitamin B9 (folate) metabolism,0.5668,0.8627,0.8388,331,1927
Purine metabolism,0.2175,0.09302,0.09915,332,1927
Vitamin B9 (folate) metabolism,0.04548,0.8154,0.1593,332,1927
Purine metabolism,0.2265,0.01961,0.0285,333,1927
Vitamin B9 (folate) metabolism,0.5555,0.4286,0.5798,333,1927
Purine metabolism,0.3242,0.02564,0.04813,334,1927
Vitamin B9 (folate) metabolism,0.0701,0.6316,0.1823,334,1927
Purine metabolism,0.03705,0.02703,0.00792,335,1927
Vitamin B9 (folate) metabolism,0.2126,0.82,0.4788,335,1927
Purine metabolism,0.05212,0.01351,0.00582,336,1927
Vitamin B9 (folate) metabolism,0.0051,0.371,0.01375,336,1927
Purine metabolism,0.1545,0.01389,0.01533,337,1927
Vitamin B9 (folate) metabolism,0.1011,0.3968,0.1692,337,1927
Purine metabolism,0.326,0.1154,0.161,338,1927
Vitamin B9 (folate) metabolism,0.06643,0.675,0.184,338,1927
Purine metabolism,0.0495,0.01333,0.00549,339,1927
Vitamin B9 (folate) metabolism,0.4829,0.8913,0.7933,339,1927
Purine metabolism,0.1839,0.2679,0.1976,340,1927
Vitamin B9 (folate) metabolism,0.05489,0.7586,0.174,340,1927
Purine metabolism,0.1262,0.05063,0.03867,341,1927
Vitamin B9 (folate) metabolism,0.05988,0.9123,0.2134,341,1927
Purine metabolism,0.03037,0.02817,0.0069,342,1927
Vitamin B9 (folate) metabolism,0.02411,0.8621,0.1013,342,1927
Purine metabolism,0.1764,0.541,0.3196,343,1927
Vitamin B9 (folate) metabolism,0.0812,0.5577,0.1854,343,1927
Purine metabolism,0.2901,0.02941,0.04918,344,1927
Vitamin B9 (folate) metabolism,0.3544,0.8261,0.6524,344,1927
Purine metabolism,0.3,0.1143,0.15,345,1927
Vitamin B9 (folate) metabolism,0.1086,0.629,0.2517,345,1927
Purine metabolism,0.03162,0.01613,0.00438,346,1927
Vitamin B9 (folate) metabolism,0.1284,0.8824,0.36,346,1927
Purine metabolism,0.2006,0.2958,0.2269,347,1927
Vitamin B9 (folate) metabolism,0.2514,0.7391,0.4986,347,1927
Purine metabolism,0.2356,0.08333,0.0968,348,1927
Vitamin B9 (folate) metabolism,0.1277,0.7059,0.307,348,1927
Purine metabolism,0.4542,0.04412,0.0984,349,1927
Vitamin B9 (folate) metabolism,0.01814,0.5254,0.05389,349,1927
Purine metabolism,0.06984,0.01299,0.00726,350,1927
Vitamin B9 (folate) metabolism,0.09075,0.5306,0.1942,350,1927
Purine metabolism,0.6472,0.3019,0.5144,351,1927
Vitamin B9 (folate) metabolism,0.1321,0.4667,0.2334,351,1927
Purine metabolism,0.3777,0.05063,0.09479,352,1927
Vitamin B9 (folate) metabolism,0.3288,0.6129,0.5243,352,1927
Purine metabolism,0.288,0.0119,0.02288,353,1927
Vitamin B9 (folate) metabolism,0.1485,0.8727,0.3944,353,1927
Purine metabolism,0.00737,0.03614,0.00246,354,1927
Vitamin B9 (folate) metabolism,0.08758,0.5357,0.1904,354,1927
Purine metabolism,0.01342,0.02247,0.00275,355,1927
Vitamin B9 (folate) metabolism,0.1404,0.7073,0.3286,355,1927
Purine metabolism,0.4494,0.1507,0.2501,356,1927
Vitamin B9 (folate) metabolism,0.6653,0.375,0.5959,356,1927
Purine metabolism,0.05507,0.0125,0.0057,357,1927
Vitamin B9 (folate) metabolism,0.232,0.8462,0.516,357,1927
Purine metabolism,0.4452,0.1803,0.2828,358,1927
Vitamin B9 (folate) metabolism,0.03282,0.5238,0.08704,358,1927
Purine metabolism,0.00599,0.01449,9e-4,359,1927
Vitamin B9 (folate) metabolism,0.1024,0.9216,0.317,359,1927
Purine metabolism,0.3929,0.07143,0.1284,360,1927
Vitamin B9 (folate) metabolism,0.1178,0.66,0.2764,360,1927
Purine metabolism,0.2499,0.06024,0.07822,361,1927
Vitamin B9 (folate) metabolism,0.06697,0.4909,0.1452,361,1927
Purine metabolism,0.05343,0.04286,0.01621,362,1927
Vitamin B9 (folate) metabolism,0.3955,0.8864,0.718,362,1927
Purine metabolism,0.1472,0.1515,0.1071,363,1927
Vitamin B9 (folate) metabolism,0.3494,0.6471,0.5622,363,1927
Purine metabolism,0.283,0.02632,0.04394,364,1927
Vitamin B9 (folate) metabolism,0.3256,0.3443,0.3574,364,1927
Purine metabolism,0.6026,0.05333,0.1426,365,1927
Vitamin B9 (folate) metabolism,0.2959,0.8254,0.5885,365,1927
Purine metabolism,0.3606,0.01266,0.02917,366,1927
Vitamin B9 (folate) metabolism,0.06072,0.54,0.1449,366,1927
Purine metabolism,0.2398,0.01724,0.02683,367,1927
Vitamin B9 (folate) metabolism,0.4414,0.9773,0.794,367,1927
Purine metabolism,0.202,0.01299,0.01822,368,1927
Vitamin B9 (folate) metabolism,0.3847,0.377,0.4251,368,1927
Purine metabolism,0.2067,0.05479,0.06206,369,1927
Vitamin B9 (folate) metabolism,0.09697,0.6364,0.2336,369,1927
Purine metabolism,0.06407,0.01493,0.00761,370,1927
Vitamin B9 (folate) metabolism,0.1438,0.24,0.1507,370,1927
Purine metabolism,0.1448,0.05263,0.04478,371,1927
Vitamin B9 (folate) metabolism,0.02135,0.3208,0.04098,371,1927
Purine metabolism,0.02751,0.02326,0.00534,372,1927
Vitamin B9 (folate) metabolism,0.1494,0.8409,0.3863,372,1927
Purine metabolism,0.1476,0.01282,0.01375,373,1927
Vitamin B9 (folate) metabolism,0.0366,0.2807,0.05731,373,1927
Purine metabolism,0.7564,0.1765,0.4023,374,1927
Vitamin B9 (folate) metabolism,0.1198,0.9,0.348,374,1927
Purine metabolism,0.169,0.3725,0.2371,375,1927
Vitamin B9 (folate) metabolism,0.7125,0.8654,0.9148,375,1927
Purine metabolism,0.176,0.06757,0.06459,376,1927
Vitamin B9 (folate) metabolism,0.1875,0.6538,0.3799,376,1927
Purine metabolism,0.2199,0.01282,0.01937,377,1927
Vitamin B9 (folate) metabolism,0.3345,0.7857,0.614,377,1927
Purine metabolism,0.6418,0.04286,0.1264,378,1927
Vitamin B9 (folate) metabolism,0.2258,0.6727,0.4382,378,1927
Purine metabolism,0.5333,0.02532,0.07163,379,1927
Vitamin B9 (folate) metabolism,0.6505,0.2245,0.427,379,1927
Purine metabolism,0.08106,0.01538,0.00958,380,1927
Vitamin B9 (folate) metabolism,0.1046,0.6923,0.2626,380,1927
Purine metabolism,0.2712,0.02703,0.04337,381,1927
Vitamin B9 (folate) metabolism,0.2214,0.5306,0.369,381,1927
Purine metabolism,0.5955,0.3286,0.5149,382,1927
Vitamin B9 (folate) metabolism,0.8502,0.7174,0.9115,382,1927
Purine metabolism,0.09848,0.1129,0.06114,383,1927
Vitamin B9 (folate) metabolism,0.1934,0.7885,0.4393,383,1927
Purine metabolism,0.1405,0.1389,0.09635,384,1927
Vitamin B9 (folate) metabolism,0.09371,0.7843,0.2653,384,1927
Purine metabolism,0.1048,0.1061,0.06116,385,1927
Vitamin B9 (folate) metabolism,0.1744,0.8841,0.4425,385,1927
Purine metabolism,0.04482,0.06757,0.02059,386,1927
Vitamin B9 (folate) metabolism,0.1303,0.2143,0.1278,386,1927
Purine metabolism,0.1309,0.01235,0.01201,387,1927
Vitamin B9 (folate) metabolism,0.3205,0.5517,0.4832,387,1927
Purine metabolism,0.09218,0.01389,0.00981,388,1927
Vitamin B9 (folate) metabolism,0.2295,0.3519,0.284,388,1927
Purine metabolism,0.2453,0.01493,0.02421,389,1927
Vitamin B9 (folate) metabolism,0.2826,0.56,0.45,389,1927
Purine metabolism,0.2795,0.06579,0.09187,390,1927
Vitamin B9 (folate) metabolism,0.2392,0.807,0.5105,390,1927
Purine metabolism,0.2176,0.03409,0.04379,391,1927
Vitamin B9 (folate) metabolism,0.04283,0.7869,0.148,391,1927
Purine metabolism,0.1146,0.0303,0.02314,392,1927
Vitamin B9 (folate) metabolism,0.03897,0.4839,0.09374,392,1927
Purine metabolism,0.2937,0.03947,0.06327,393,1927
Vitamin B9 (folate) metabolism,0.2315,0.5306,0.3804,393,1927
Purine metabolism,0.4761,0.06667,0.1412,394,1927
Vitamin B9 (folate) metabolism,0.2164,0.5818,0.3868,394,1927
Purine metabolism,0.1533,0.07692,0.06417,395,1927
Vitamin B9 (folate) metabolism,0.2469,0.3617,0.305,395,1927
Purine metabolism,0.1924,0.1389,0.1235,396,1927
Vitamin B9 (folate) metabolism,0.3931,0.7679,0.6634,396,1927
Purine metabolism,0.4239,0.01754,0.04388,397,1927
Vitamin B9 (folate) metabolism,0.2223,0.3833,0.2951,397,1927
Purine metabolism,0.2034,0.02469,0.03161,398,1927
Vitamin B9 (folate) metabolism,0.0064,0.1961,0.00965,398,1927
Purine metabolism,0.2145,0.03125,0.04025,399,1927
Vitamin B9 (folate) metabolism,0.09347,0.8182,0.2731,399,1927
Purine metabolism,0.0318,0.03125,0.00786,400,1927
Vitamin B9 (folate) metabolism,0.06848,0.3542,0.1145,400,1927
Purine metabolism,0.08557,0.05797,0.03128,401,1927
Vitamin B9 (folate) metabolism,0.2188,0.7907,0.4765,401,1927
Purine metabolism,0.00565,0.01163,7e-4,402,1927
Vitamin B9 (folate) metabolism,0.05657,0.7164,0.1704,402,1927
Purine metabolism,0.1343,0.03333,0.02869,403,1927
Vitamin B9 (folate) metabolism,0.1268,0.619,0.2783,403,1927
Purine metabolism,0.2502,0.03896,0.05488,404,1927
Vitamin B9 (folate) metabolism,0.2584,0.2456,0.2384,404,1927
Purine metabolism,0.1955,0.04651,0.05182,405,1927
Vitamin B9 (folate) metabolism,0.2679,0.4878,0.3966,405,1927
Purine metabolism,0.4192,0.08772,0.1582,406,1927
Vitamin B9 (folate) metabolism,0.06931,0.7586,0.2074,406,1927
Purine metabolism,0.0141,0.03529,0.00428,407,1927
Vitamin B9 (folate) metabolism,0.2721,0.9677,0.6147,407,1927
Purine metabolism,0.07026,0.06667,0.02981,408,1927
Vitamin B9 (folate) metabolism,0.1864,0.3654,0.2511,408,1927
Purine metabolism,0.05249,0.05634,0.02018,409,1927
Vitamin B9 (folate) metabolism,0.1238,0.3019,0.1602,409,1927
Purine metabolism,0.3252,0.02985,0.0547,410,1927
Vitamin B9 (folate) metabolism,0.05641,0.4783,0.1245,410,1927
Purine metabolism,0.1219,0.04,0.03084,411,1927
Vitamin B9 (folate) metabolism,0.1538,0.4182,0.2408,411,1927
Purine metabolism,0.1704,0.01493,0.01775,412,1927
Vitamin B9 (folate) metabolism,0.02117,0.6667,0.07424,412,1927
Purine metabolism,0.1303,0.01205,0.01171,413,1927
Vitamin B9 (folate) metabolism,0.03186,0.4603,0.07658,413,1927
Purine metabolism,0.2619,0.09677,0.1185,414,1927
Vitamin B9 (folate) metabolism,0.05716,0.6471,0.159,414,1927
Purine metabolism,0.198,0.0122,0.01697,415,1927
Vitamin B9 (folate) metabolism,0.1039,0.9545,0.3283,415,1927
Purine metabolism,0.07383,0.0303,0.01589,416,1927
Vitamin B9 (folate) metabolism,0.2696,0.5,0.4049,416,1927
Purine metabolism,0.317,0.01333,0.02732,417,1927
Vitamin B9 (folate) metabolism,0.1615,0.339,0.2138,417,1927
Purine metabolism,0.3349,0.05556,0.09275,418,1927
Vitamin B9 (folate) metabolism,0.03579,0.5441,0.09618,418,1927
Purine metabolism,0.2219,0.02899,0.03889,419,1927
Vitamin B9 (folate) metabolism,0.03788,0.5,0.09407,419,1927
Purine metabolism,0.05938,0.06849,0.02646,420,1927
Vitamin B9 (folate) metabolism,0.3508,0.84,0.6548,420,1927
Purine metabolism,0.2165,0.02222,0.03049,421,1927
Vitamin B9 (folate) metabolism,0.225,0.5522,0.3833,421,1927
Purine metabolism,0.7484,0.02817,0.1024,422,1927
Vitamin B9 (folate) metabolism,0.4343,0.7333,0.6829,422,1927
Purine metabolism,0.511,0.01562,0.04654,423,1927
Vitamin B9 (folate) metabolism,0.1517,0.1,0.07873,423,1927
Purine metabolism,0.09454,0.02632,0.01741,424,1927
Vitamin B9 (folate) metabolism,0.06659,0.8769,0.2243,424,1927
Purine metabolism,0.07525,0.05556,0.02708,425,1927
Vitamin B9 (folate) metabolism,0.3948,0.6383,0.5993,425,1927
Purine metabolism,0.01886,0.01235,0.00218,426,1927
Vitamin B9 (folate) metabolism,0.163,0.8846,0.4235,426,1927
Purine metabolism,0.0709,0.0119,0.00682,427,1927
Vitamin B9 (folate) metabolism,0.1385,0.8824,0.3791,427,1927
Purine metabolism,0.04013,0.01389,0.00473,428,1927
Vitamin B9 (folate) metabolism,0.1572,0.5763,0.3081,428,1927
Purine metabolism,0.2466,0.1341,0.1458,429,1927
Vitamin B9 (folate) metabolism,0.02084,0.3182,0.03989,429,1927
Purine metabolism,0.0313,0.01316,0.00362,430,1927
