feature,mzmed,rtmed,NEG_1_QC_pool_n1.mzXML,NEG_2_WT_b1_t1.mzXML,NEG_3_PM-31_b1_t1.mzXML,NEG_4_PM-37_b1_t1.mzXML,NEG_5_KO-6_b1_t1.mzXML,NEG_6_KO-22_b1_t1.mzXML,NEG_7_QC_pool_n2.mzXML,NEG_8_WT_b2_t1.mzXML,NEG_9_PM-31_b2_t1.mzXML,NEG_10_PM-37_b2_t1.mzXML,NEG_11_KO-6_b2_t1.mzXML,NEG_12_KO-22_b2_t1.mzXML,NEG_13_QC_pool_n3.mzXML,NEG_14_WT_b3_t1.mzXML,NEG_15_PM-31_b3_t1.mzXML,NEG_16_PM-37_b3_t1.mzXML,NEG_17_KO-6_b3_t1.mzXML,NEG_18_KO-22_b3_t1.mzXML,NEG_19_QC_pool_n4.mzXML,NEG_20_WT_b1_t2.mzXML,NEG_21_PM-31_b1_t2.mzXML,NEG_22_PM-37_b1_t2.mzXML,NEG_23_KO-6_b1_t2.mzXML,NEG_24_KO-22_b1_t2.mzXML,NEG_25_QC_pool_n5.mzXML,NEG_26_WT_b2_t2.mzXML,NEG_27_PM-31_b2_t2.mzXML,NEG_28_PM-37_b2_t2.mzXML,NEG_29_KO-6_b2_t2.mzXML,NEG_30_KO-22_b2_t2.mzXML,NEG_31_QC_pool_n6.mzXML,NEG_32_WT_b3_t2.mzXML,NEG_33_PM-31_b3_t2.mzXML,NEG_34_PM-37_b3_t2.mzXML,NEG_35_KO-6_b3_t2.mzXML,NEG_36_KO-22_b3_t2.mzXML,NEG_37_QC_pool_n7.mzXML
FT0012,74.9737458789503,990.431274414062, 90691.55,103440.23, 88998.89,102845.47, 99347.12, 95249.18, 91088.14, 84307.09,105077.90, 92496.94, 91218.17, 85260.92, 88879.24, 96115.01, 83344.73, 96179.89, 75864.03, 87160.68, 97834.43, 79645.54, 82515.62, 91160.74, 89899.41, 84483.36, 78692.30, 90355.89, 98579.43, 94720.16, 82884.43, 83220.78,102828.91, 87261.25, 92140.95,102295.49, 95061.35, 88019.55, 92511.84
FT0013,75.0085611246244,142.973007202148,31890554,32041567,31618325,31351604,29937917,29980722,29403494,29936481,30243582,28547918,29152237,29399866,29652967,29527052,29368040,29648454,27741428,29331410,28806601,29327172,28349330,28671418,28235835,27731225,28125547,27840771,26453899,27554418,27680652,27187247,27201811,26827448,27258693,27113873,25586793,26505086,27174003
FT0014,75.0085655019869,402.006530761719,395447.8,326204.0,244155.3,772586.1,146944.7,215890.3,344814.1,231419.6,207113.9,719396.9,153394.3,183298.0,197089.9,161127.3,201129.6,745978.2,165968.4,175661.5,242481.1,180648.5,215087.4,778438.3,148064.9,176103.5,271244.1,168611.5,205516.0,700114.8,169273.6,133095.8,257456.8,218842.5,179326.3,752821.5,113975.5,163446.0,286036.0
FT0015,76.0119473267777,142.975234985352,1123428.4,1055905.2,1090419.0,1095806.8,1045228.1,1040267.3,1030231.5,1057268.4,1037408.3,1017266.0,1027942.4,1031682.2,1010099.9,1016331.5,1024206.6,1003228.7, 980301.1,1039021.6,1015022.4,1004954.0, 952019.8,1016449.0, 988270.0, 929478.2, 985723.0, 935155.9, 873655.4, 948532.3, 946459.5, 930820.9, 947868.3, 937116.7, 924176.9, 931503.7, 897021.6, 914474.0, 957123.5
FT0016,77.0128387876902,142.973007202148,462122.8,438830.0,416276.8,449168.4,403997.3,416191.6,400902.6,427543.3,438742.7,405561.8,395173.2,395477.8,419838.4,425567.4,419599.5,412340.8,393678.8,382462.5,384982.3,405368.0,362410.0,389424.3,383990.8,377125.9,373798.5,375628.7,359579.3,382021.8,359896.8,386408.5,366471.7,361544.4,366935.1,361056.8,335253.0,353071.6,371852.0
FT0017,78.9187702441501,374.317,2764806,1891876,2414703,1965370,2754951,3370095,2646706,2634585,2483182,2377051,2781558,3282503,2792934,2495539,2308799,1890345,4764484,3474549,2709315,1798474,2279922,1960722,2801353,3375737,2933619,2758226,2337710,2378769,3015860,3238916,2657379,2466087,2288335,1992286,5037083,3639288,2772116
FT0018,78.9400116473375,579.036010742188,321807.4,211769.6,253157.0,210922.9,303765.0,393356.2,317263.6,308925.3,274086.1,283337.1,329461.1,378490.2,316745.2,270552.8,199255.2,226498.4,596242.8,416681.9,296297.0,212636.8,252660.1,227307.1,311796.4,403581.6,298340.3,332137.1,259715.3,302043.6,322344.0,395161.9,323112.0,300984.4,249129.3,225323.4,621535.1,425462.7,337945.7
FT0019,78.9444503657587,579.036010742188, 47730.15, 79298.69,103192.05, 71575.13,127187.65,166735.30,125563.93,126249.42, 99785.42,118502.60,136253.02,163505.99,135070.08,114525.94, 92879.51, 83490.94,276845.05,176199.93,119832.06, 63681.86,104426.66, 82197.66,139110.71,158361.09,116105.96,140188.21,113367.55,123982.32,138727.40,171316.70,117699.86,133451.18, 87814.82, 46396.61,268215.56,186953.64,142502.00
FT0020,78.9588999072745,529.400268554688,  9202199, 10182600, 11751641, 78021783,  2656187, 10190976,  9696946, 10398200, 12294288,102693615,  2757088,135901503,  9337023, 10469355, 11692576, 79846967,217027145, 10474648,  9389181, 72996599, 11417006, 79524774,112976453, 10393280,  9427235, 10353303, 12123887,101174094,118672586, 10733731,  8938400,109274723, 89018087, 78205411,215277368, 10283564,  9297631
FT0021,78.9589359141003,410.440093994141,2786282.8,2132826.6,2417997.3,1747991.7,2229207.8,3093208.3,3216493.2,2991415.8,2908507.2,2296538.2,2569529.4,2631017.2,2983643.7,2513783.8,2744405.6, 414228.6,1679525.7,3364044.8,3374431.9,1721747.1,2652973.2,2090934.0, 878038.4,3090006.9,3130232.2,2633755.1,2907704.5,1861738.1,2584544.0,2820886.5,3197313.3, 376578.6, 283292.4, 186464.4,  67501.7,3352124.0,3376416.1
