"feature","mzmed","rtmed","NEG_1_QC_pool_n1.mzXML","NEG_2_WT_b1_t1.mzXML","NEG_3_PM-31_b1_t1.mzXML","NEG_4_PM-37_b1_t1.mzXML","NEG_5_KO-6_b1_t1.mzXML","NEG_6_KO-22_b1_t1.mzXML","NEG_7_QC_pool_n2.mzXML","NEG_8_WT_b2_t1.mzXML","NEG_9_PM-31_b2_t1.mzXML","NEG_10_PM-37_b2_t1.mzXML","NEG_11_KO-6_b2_t1.mzXML","NEG_12_KO-22_b2_t1.mzXML","NEG_13_QC_pool_n3.mzXML","NEG_14_WT_b3_t1.mzXML","NEG_15_PM-31_b3_t1.mzXML","NEG_16_PM-37_b3_t1.mzXML","NEG_17_KO-6_b3_t1.mzXML","NEG_18_KO-22_b3_t1.mzXML","NEG_19_QC_pool_n4.mzXML","NEG_20_WT_b1_t2.mzXML","NEG_21_PM-31_b1_t2.mzXML","NEG_22_PM-37_b1_t2.mzXML","NEG_23_KO-6_b1_t2.mzXML","NEG_24_KO-22_b1_t2.mzXML","NEG_25_QC_pool_n5.mzXML","NEG_26_WT_b2_t2.mzXML","NEG_27_PM-31_b2_t2.mzXML","NEG_28_PM-37_b2_t2.mzXML","NEG_29_KO-6_b2_t2.mzXML","NEG_30_KO-22_b2_t2.mzXML","NEG_31_QC_pool_n6.mzXML","NEG_32_WT_b3_t2.mzXML","NEG_33_PM-31_b3_t2.mzXML","NEG_34_PM-37_b3_t2.mzXML","NEG_35_KO-6_b3_t2.mzXML","NEG_36_KO-22_b3_t2.mzXML","NEG_37_QC_pool_n7.mzXML"
"FT0021",78.9589359141003,410.440093994141,2786282.8,2132826.6,2417997.3,1747991.7,2229207.8,3093208.3,3216493.2,2991415.8,2908507.2,2296538.2,2569529.4,2631017.2,2983643.7,2513783.8,2744405.6,414228.6,1679525.7,3364044.8,3374431.9,1721747.1,2652973.2,2090934,878038.4,3090006.9,3130232.2,2633755.1,2907704.5,1861738.1,2584544,2820886.5,3197313.3,376578.6,283292.4,186464.4,67501.7,3352124,3376416.1
"FT0024",79.9570950619711,488.087768554688,572074.5,518947,487153.9,467548.7,713436,588572.8,530015.9,511498,414597.8,454553.7,716621.5,582150.8,555454.6,543695.3,446008.3,483910.5,718230.5,555008.3,545642.6,512589.9,452030.3,476125.3,764434.6,558329.6,513529.9,531517.6,403411.8,437677.9,720982,555282.6,426953.3,488860.3,389050.8,466441.8,733688.1,575364.2,508431.4
"FT0025",79.9567607163195,161.898101806641,466839.4,545852.4,364835,500428.5,516046.9,515727.8,552138.1,520598.5,458274.2,542469.8,529413.6,604109.2,555234.6,556873.2,538880.7,428042.5,504787.3,559835.2,613647.6,620443.2,462936.6,558533.3,552205.2,503861.8,606608.5,546692.6,577261.4,578520.9,537642.7,562190.6,405580.8,418350.7,530923.9,541386.6,592831.6,531520.3,534191.6
"FT0029",81.0457459369511,342.640472412109,29956.383,8534.946,3148.98,64968.214,6051.708,12141.944,34955.133,12878.835,7263.075,81632.661,4933.626,9324.901,27050.365,21729.381,8151.804,68066.194,7108.898,12541.204,20774.154,3856.65,15786.668,76320.328,13880.445,13310.636,33061.784,11900.307,6170.719,86472.637,17022.36,18754.562,18347.043,9582.772,11549.122,79230.859,18276.849,10287.954,20377.605
"FT0032",83.0137732848432,440.126342773438,84648.83,19452.41,31702.67,72817.46,233619.55,43186.78,85894.49,31823.37,31597.25,77714.13,228714.07,37711.01,55465.78,20581.95,23006.73,72392.93,172565.69,33268.5,71774.08,15618.84,21314.58,65365.06,221574.26,35170.15,78649.65,18085.95,24561.37,56350.37,201620.37,36835.06,87228.82,20087.43,32613.15,53103.73,190134.88,30098.08,69647.34
"FT0033",84.0454765349806,304.133010864258,290886.8,301772.8,257854.2,370718.8,184708.9,218551.7,280685.9,292687.3,238553.3,344737.1,178570,206345.8,270557.7,291508.6,230679.4,363832,165718.1,204522,267413.7,277836.7,248075.8,370116.9,193456.4,217088.6,260582,268775.6,234398.1,349749.9,161036,233017.3,271770.7,311424.6,242340.1,348858.6,161057.5,224464.4,280176.3
"FT0034",84.045395004787,517.687438964844,198343.4,154780.6,168826.1,156867.3,251375.6,167463.4,153391.2,191994.6,168834.3,145793,251972.4,182266.9,135642.9,213904.4,165521.5,164876.1,259490.2,146226.6,178382.8,196526.7,164643,157925.9,250849,147506.3,189262.8,204230.7,144555.3,156805.6,266906.2,178114.6,204584.9,240897.8,167943.5,141785.6,260929.8,159020,178945.7
"FT0035",84.0454448415634,434.188018798828,49001.265,3345.264,2917.619,59246.635,323085.739,15524.802,43848.096,3676.163,0,13209.269,306075.505,13914.815,49095.355,6155.557,0,73236.182,221525.665,7208.928,38468.177,0,3169.018,53097.484,293128.992,10156.811,27682.895,1523.155,1381.153,9529.253,294219.69,6406.376,29012.072,0,0,7290.371,215563.383,14401.416,37121.162
"FT0038",85.0295132877978,651.197875976562,475714.35,224571.51,194206.76,836756.17,267193.78,236114.83,440880.87,247443.01,225668.1,754360.05,252401.21,200362.71,433512.69,210822.77,236790.74,754622.6,163805.35,127076.27,400037.12,196102.52,114003.02,936659.48,264978.93,222739.22,401917.58,202113.15,202087.87,766433.18,282413.82,236690.17,417228.36,151722.07,79662.87,713018.9,55674.5,138870.92,438631.43
"FT0041",87.0088147836825,189.380729675293,1813406.9,1211732.6,1099260.6,1589925.4,2386957.8,1485382,1696130.7,1687549.7,1047510.9,1837737.9,2345364.3,1545728.8,1730436.5,1933315.5,1443318.6,1739903.9,3456072.7,991259.5,1685768.8,1112882.5,1023161.9,1517215.6,2258948.4,1423142.3,1683953.1,1646783.9,988319.3,1710219.1,2152754.6,1525535.3,1643199,1878437.6,1332531.4,1652200.6,3389823.7,987985.2,1696450.9
"FT0043",87.0451932853906,168.620574951172,695203.6,704072.7,651897.1,758972.3,730374.9,616170.2,666748.4,637330.3,717621.5,683498.8,731249.6,698014,486195.6,820121.6,663232,750984.6,736272,589773.2,694074.3,690708.3,658505.1,718177.9,684159.7,487834.8,683078.7,680637.4,673183,713474.7,780471,464991.1,694623.4,675012.9,665828.5,693593.6,670343.1,659960.6,674999.9
"FT0044",87.0451549981629,90.3113250732422,1009094.2,912350.6,975056.1,927410.4,883995.5,955494.3,943478.9,951387.6,930361.2,825255.9,916350.9,1010389.9,804734.9,991727.9,841421.3,848270.9,987279.5,893887.6,951434.5,924443.8,815671.6,887037.6,804386.2,738438.4,922489,938380.6,778425,544408.8,982559.8,780271.7,956057.6,1023957.4,872123.1,882350.3,915603.3,905157.8,891025.2
"FT0045",87.9726990984314,416.021362304688,40344.34,6177.911,23879.07,5692.338,55123.974,76991.721,44379.921,32899.852,23350.95,33164.236,47802.664,63840.753,43418.901,24284.308,14505.015,10713.066,117961.886,77696.305,40903.604,7863.264,26852.689,20690.767,42564.713,68845.998,22990.991,37729.736,22403.087,32348.882,45537.733,56604.58,43320.784,25275.505,15900.379,16411.63,91555.677,71180.501,37086.101
"FT0046",88.0121786864674,189.999794006348,40778.3,23543.29,24825.76,46157.5,63723.48,36693.05,47592.13,44973.03,27458.8,45709.37,66844.25,30438.18,43406.53,53983.87,30999.54,44173,91266.51,13232.98,40613.03,23459.96,23493.4,37083.43,76774.35,29016.43,45425.12,50931.5,22470.4,49605.66,58474.45,22716.18,48175.05,52281.91,31055.12,30227.84,106066.22,22212.45,33341.38
"FT0047",88.0404333866452,481.421997070312,4217821,3095019,2755210,6310810,2761166,4096288,4243569,3096190,2793296,5861012,2714242,3957404,4035771,3023612,2466264,6348496,2550315,3874848,3932170,2772541,2638078,6209732,2632938,3828545,3890422,2948555,2611820,5928710,2652430,3883105,3803356,2984659,2381674,6251573,2486390,3823308,4012274
"FT0049",88.0404748934399,204.644790649414,853240.7,790468.7,835144.3,1034863.1,526571.6,680690.1,825808.5,762389.3,889865.5,1059823,589584.9,716386.6,797845.9,784364,809842.5,1055706.9,556797.4,663949.6,823762.1,778612.5,875648.8,1008651.4,505621.3,672036.6,814143,775359.7,898103.8,988309,548143.9,700121,839956.1,800251.5,800591.8,1077656.4,549432.8,692330,825001.8
"FT0053",89.0244940146687,232.724807739258,96650501,24658943,18377414,156704685,86748079,36729795,91341007,36783315,16231027,221050145,86613608,45763737,92701315,45387208,31014142,178705947,136419364,24831631,88649960,23087740,17604479,152084942,82931739,36754716,90600454,35133831,15379496,218638096,84580194,44736711,87014834,44064165,30494235,172828344,135614719,24133106,87973687
"FT0059",90.9713896074139,611.759185791016,1616976.5,1889823.4,2122222.2,1953874,1365865.4,1928053.8,1916497.2,2161125.7,2430941.6,2017355.7,1183881.6,1854043.7,2207214.5,2066567,2285969.3,2031296,1134315.3,1019453,2351646.7,2720249.5,2897317.4,2419843.1,792748.5,2787075.8,2766076.6,2838588.9,3197663,2891952.5,2628285.7,2304401,2819409.3,3032372.3,3105270.4,3036591.2,413245.1,2082978.7,3431781.3
"FT0061",91.0221225305508,156.473007202148,1961068,2802239,1909690,1855937,1830550,2527413,2715260,2757081,1886990,2462811,2651884,1722317,1865770,1927981,1836620,1979346,2469857,1923194,1938893,6811848,5423780,5848682,6235163,6029925,1977125,6177046,5967875,5702724,5868351,7366614,1949148,6810847,1810944,5178951,5572010,5601672,3282341
"FT0063",91.030210733019,340.556640625,29585.16,10728.705,1693.752,62562.707,4674.98,18709.16,31258.324,5979.265,1435.196,92168.27,3647.581,10004.091,23328.627,1393.259,9150.056,77707.7,23969.725,13942.999,22031.032,1664.108,3365.131,70026.169,8076.33,5295.608,32185.392,3807.308,3107.56,91314.854,3085.471,12228.735,28025.84,7943.325,6560.46,74275.795,14618.931,9609.148,28875.867
"FT0064",91.0401215514024,243.953216552734,162619.58,131910.29,127242.5,231908.91,62105.51,92817.64,150058.01,157568.01,84754.66,219861.66,102838.67,136981.59,152564.61,147587.19,87259.81,183500.73,81118.7,121810.77,151071.47,123536.76,121664.18,230666.88,66576.78,104035.95,197423.52,140274.19,72334.97,213059.64,106614.38,138251.05,145529.68,130571.79,87948.02,190291.25,79414.17,114562.93,160814.28
"FT0065",92.0254886494867,245.279998779297,241610.027,73775.954,43325.178,493341.642,7251.535,144885.711,245129.583,92573.157,56674.753,603842.568,5586.381,185914.499,226013.559,89345.124,93026.619,504288.168,10633.017,136244.391,228316.336,42479.025,49438.745,493351.601,4594.023,133795.949,198560.643,89540.644,58217.256,605671.107,11040.575,195243.017,220629.012,93709.921,94455.233,510415.793,11312.095,121688.039,216728.666
