"feature","mzmed","rtmed","NEG_1_QC_pool_n1.mzXML","NEG_2_WT_b1_t1.mzXML","NEG_3_PM-31_b1_t1.mzXML","NEG_4_PM-37_b1_t1.mzXML","NEG_5_KO-6_b1_t1.mzXML","NEG_6_KO-22_b1_t1.mzXML","NEG_7_QC_pool_n2.mzXML","NEG_8_WT_b2_t1.mzXML","NEG_9_PM-31_b2_t1.mzXML","NEG_10_PM-37_b2_t1.mzXML","NEG_11_KO-6_b2_t1.mzXML","NEG_12_KO-22_b2_t1.mzXML","NEG_13_QC_pool_n3.mzXML","NEG_14_WT_b3_t1.mzXML","NEG_15_PM-31_b3_t1.mzXML","NEG_16_PM-37_b3_t1.mzXML","NEG_17_KO-6_b3_t1.mzXML","NEG_18_KO-22_b3_t1.mzXML","NEG_19_QC_pool_n4.mzXML","NEG_20_WT_b1_t2.mzXML","NEG_21_PM-31_b1_t2.mzXML","NEG_22_PM-37_b1_t2.mzXML","NEG_23_KO-6_b1_t2.mzXML","NEG_24_KO-22_b1_t2.mzXML","NEG_25_QC_pool_n5.mzXML","NEG_26_WT_b2_t2.mzXML","NEG_27_PM-31_b2_t2.mzXML","NEG_28_PM-37_b2_t2.mzXML","NEG_29_KO-6_b2_t2.mzXML","NEG_30_KO-22_b2_t2.mzXML","NEG_31_QC_pool_n6.mzXML","NEG_32_WT_b3_t2.mzXML","NEG_33_PM-31_b3_t2.mzXML","NEG_34_PM-37_b3_t2.mzXML","NEG_35_KO-6_b3_t2.mzXML","NEG_36_KO-22_b3_t2.mzXML","NEG_37_QC_pool_n7.mzXML"
"FT0492",152.534577312863,511.274322509766,4244024,4197363,3929854,3324806,4556679,3734924,4032782,4294615,4448837,3251285,4669094,3917085,3812427,4159613,3909519,3348609,4016600,3842425,4052343,4208926,4350042,3387992,4307104,3987026,3836449,4563933,4185986,3649916,4660795,4046948,4064785,4676827,3906937,3368996,4562940,4316804,4420299
"FT0493",152.883720502316,406.227600097656,512190,451181.4,463414.6,415415.9,463654.5,496907.6,495836.5,457810.2,444953.8,458066.2,471040.6,496080.7,455871.5,381730.5,406438,402343.8,399801.7,496222.9,444226.5,379032,457483.6,405636.2,448754,474546.7,443995.7,421214.6,432362.6,444008.2,455933.7,456989.3,454689.1,431591.7,424606.3,405897.2,371314.3,495610.4,449959.4
"FT0495",152.927230184504,580.390808105469,307255.2,209539,251923.4,272799,345290.9,327450,294993.6,301255.5,294016,392055.2,376055.1,441807.7,410773.6,395159.5,390445.2,327595.5,531868.7,433039.6,528983.6,293404.4,354828.9,422632.9,422906.8,521610.8,497147.3,439577.8,412917.3,539648.8,523363.8,521263.4,499448.3,530529.3,448366.8,439077.3,684222.7,625109.9,607249.2
"FT0498",152.936137219154,991.913024902344,153627.2,126735.5,142410.5,146377,144531.1,149826.3,145427.4,150378.5,160185.7,141956.6,130630.9,144597.1,134067.9,139176.3,144065.4,148063.3,155039.8,151869.9,159726.3,134251.7,152170.2,131386.5,151193,146378.1,157261.4,149682.7,147932.3,167571.6,159662.2,147831,151735.6,148106.8,149230.7,152361.4,157838.6,151887,143158.8
"FT0499",152.995973289681,348.9267578125,1968173.2,941918.9,1240771.9,3741953.7,724812.7,1266909.7,1967002.4,1023156.5,1231763.6,4274233.2,709030.4,1302481,1850594.3,1194610.2,1530553.4,3970453.6,889615,1054371.8,1826037.7,904521.4,1264284.9,3650987.7,695977.5,1298734.2,1836048.7,1043800.2,1219967.4,4272836,686776.1,1336114.3,1873920.3,1242277.8,1503315.8,3728869.7,840604.4,1083725.3,1907296.2
"FT0500",152.995896593169,482.753143310547,4707414.95,3622844.68,5408870.02,9259628.42,124948.69,2142437.46,4613893.16,2912901.13,4900807.29,8440930.25,102882.67,1657690.34,4459060.33,2669479.58,4121140.44,8937204.88,93400.79,1660842.9,4487289.73,3457134.33,5170445.98,9212695.13,56486.61,2070976.22,4350728.58,2721986.31,4815257.43,8597937.57,121145.78,1676979.49,4432672.79,2656072.5,4175408.46,8886816.63,98723.16,1640891.2,4380071.55
"FT0501",153.030631120247,347.476898193359,194720.3,129572.2,171046.5,298115.6,152209.5,126955,190017.3,120173.9,171178.8,237232.4,143476,114467.4,164224.1,125452.8,144053.9,267382.2,118551.1,127844.7,186113.3,117928.8,165707.2,282098.5,142813.3,129083.6,156455.3,108213.8,174627.2,228989.1,124389.6,123279.5,172742.5,109780,135848.8,255025.6,108108,129598.8,175780.6
"FT0503",153.067090392905,509.95556640625,209024.9,215872.4,194886.4,153665.6,231875.5,165896.5,179105.1,238142.3,198819.4,152254,248463.9,171521.6,192275.6,202635.3,171359.7,145848.1,190422.1,199413.3,175667.3,223486.1,183414.4,137440,233127.3,223961.4,196209.6,216387.7,190194.8,159690.7,218889.8,204316.8,176024.5,202046.5,201356.4,149672.3,207643.2,214862.3,201959.6
"FT0504",153.868731953313,393.622467041016,761475.6,811395.5,804508.7,762917.3,774746.9,811217.2,778019.6,824120.4,833744.8,743907.2,845949,766332,846843.4,889330.4,843279.1,717864,781896.7,757183.2,692962.6,753150.8,788623.8,717765.5,771461.2,784158.7,728444.4,727638.2,796955.4,731240,753956.4,686485,727086.5,711753.4,733406.7,671021,694376.7,625009.4,659920.2
"FT0507",154.01224621374,538.834899902344,2143915.3,2862046.1,2944859.7,789258.5,2243537.3,2490557.3,2143893,2675333.4,2998938.6,569602.7,2199295.9,2350226.4,1966768.7,2293005.1,2444257.6,614854.1,1700717.8,2353315.4,1766259.1,2307795.9,2496134.7,606107.9,1857352,2147361.9,1794778.8,2230061.3,2555666,459490.1,1941874.4,2127874.9,1763964.7,2112475.9,2328999.5,552445.2,1714575.4,2238984.8,1790053.5
"FT0508",154.027570064276,530.747009277344,242119.5,353363,273101,164763.7,380320.4,320162.4,276041.4,300296.1,264426.2,161205.3,392605.3,335940.4,292867.5,311848.4,235566.6,155887,313214,318377.5,255317.7,320874,274092.4,169878.1,343407.9,316840.4,254431.9,290590.4,260971.2,156422.8,368786.9,326789.3,261410.8,310983.5,236721.2,164518.9,342533.9,318633.4,296028.5
"FT0509",154.048666208061,382.648010253906,124371.52,150984.26,161872.24,113289.66,98328.57,106317.57,115607.44,134982.01,150966.34,106690.49,94947.03,100588.78,99199.84,124844.74,136628.92,100988.23,90896.41,78861.02,118825.86,126113.02,145938.43,100439.6,94837.92,84314.67,119072.16,124605.83,160649.83,94387.41,105604.51,92884.97,104668.87,120141.08,148075.13,99754.68,95004.04,87779.53,114271.11
"FT0510",154.087484729299,163.244995117188,875576.9,885132.2,867158.6,837809.1,845990.8,809609.6,854387.2,801700.1,870808,855702.8,881371.8,851406.2,862605.4,873813.2,841620.6,824841.8,775328.1,868766.8,830371.6,851594.1,840369,875838.5,854695.3,824792.7,829899.2,870995.7,873808.6,850571,821820.6,836723.6,828514.6,818867.3,821189.6,818737.4,786258,825852,851139.9
"FT0511",154.880851383573,406.241271972656,154105.5,151060.6,170376,140780.6,146313.9,172963.7,169809.3,158830.9,145776.1,162105.6,149029.4,146052.1,155485.4,161693.4,142894.6,124347.1,126146,157435.1,141566.9,118595.2,149262.2,145538.9,159161.6,136105.8,145148.7,145026.3,133701.5,153890.2,145381.1,150820.9,138503.7,158543.1,133778.3,130820.4,119876.6,156383.6,147039.8
"FT0514",154.928349603456,396.412384033203,314506.4,335715.4,288458.4,269798.1,287357.4,263013.5,350598.5,333738.5,336503.6,312649.4,240218.7,252201.1,312113.4,333727.3,330315,267442.1,211905.4,282261.8,361024.6,328291.7,294949.3,298963.9,264722.6,298438.1,321065.4,334476.2,337296.3,308859.1,271595.1,269072,340571.5,330108,304113.8,279911.8,197549.4,276874,360407.8
"FT0516",155.009994841405,271.95361328125,864567.18,67102.62,59285.36,1919394.93,74686.33,30029.34,821859.5,123367.03,87355.06,2586405.38,54978.54,48902.84,818877.86,186413.42,126851.48,2988313.42,158792.85,46910.52,823797.92,48756.57,77102.74,1937233.7,59448.71,46229.93,837382.58,131859.15,89847.22,2473863.54,67729.82,56709.71,852712.66,193670.83,132806.79,2910675.15,156002.94,37945.71,863945.15
"FT0518",155.865806112538,393.612915039062,491334.2,531223.3,541806.3,484751.7,513304.6,499091.9,482109.6,499438.6,545101.1,477843,535897.2,495796.8,530915.1,557224.9,531909.1,451221.5,520914.9,477063.3,481325.9,478057.1,481978.3,449047,494052.2,485131.5,445162.8,450787.5,507723.6,452450.6,440889.8,433411.1,477110.9,457425.8,464860.2,430981.3,448696.7,418954,432631.9
"FT0521",155.975960019735,473.378692626953,45279.51,56829.2,59002.16,22623.87,66990.66,47834.6,47673.86,47352.37,44097.35,14154.66,55923.69,32675.87,29558.55,65456.99,40432.63,25606.24,48071.13,45616.36,26451.61,51606.41,46035.93,20393.94,57510.78,45222.03,49150.71,69989.71,43291.89,35608.89,56980.58,47190.02,33586.31,60818.24,54932.26,29668.57,47827.08,51043.36,44235.3
"FT0524",156.07807661257,845.426635742188,489599.2,311955.4,443146.7,592255.9,587701.6,325859.5,461978.7,334441.3,446013.7,619896.9,581379.5,294504.7,476110.7,346624.7,441396.4,593442.1,619732.7,306974.5,474101.3,262786.4,401771.6,564511.4,570684.7,318174,460887,335273.5,445892.4,619519.3,574810.6,344012.2,461878.7,345191.9,411671.5,578455.5,620705.1,328327.3,455089.4
"FT0526",156.919785955025,989.036010742188,100973.37,73454.12,105778.59,90570.77,94585.29,84309.57,102103.89,105548.45,98986.03,103559.8,91079.28,83643.1,86611.94,90568.36,88072.92,105126.65,82961.21,94156.29,93803.9,70494.28,91611.59,76516.09,89074.98,78010.44,93112.61,83359.12,94918.18,87244.4,88143.37,80645.82,95518.53,74002.43,92579.27,76298.72,107078.6,101516.03,92340.66
"FT0527",156.921172491334,365.820678710938,349949.6,387050.1,348765,259440.6,389261.7,332301.8,303198.7,322978.1,380259.5,259826.1,367819.5,294814.4,253570.1,318283.3,344354.8,231357.1,297748.1,273964.8,272308.4,356181.1,327212.7,226033.3,342723,308475.1,222651.7,310463.8,335392.7,218067.4,333511.9,273933.5,201253.8,328981.2,259973.5,182511.4,314584.7,243909.6,229223
"FT0528",156.92116936547,213.056304931641,260500.4,301596.3,262635,210813.4,255614.3,277953.2,252335.8,291487.2,407109.1,210697.3,388152.2,274607.7,234739.7,255051.1,236074.2,176428.5,225990.1,248703.5,235262.2,253791.7,240550.3,191333.2,372487.8,252369.3,206220.9,403844,236550.4,190536.1,250680.5,367823.8,169689.6,131046.6,115068.5,150503.3,202926.3,388138.9,137751.1
"FT0530",156.952100781451,983.095336914062,12765841,10748734,12433864,11152315,12939172,14137086,13062312,13057711,12809035,12424701,13279630,13743129,12961629,12436797,12386831,11543512,17932217,14354677,12882654,10479741,12325982,11510396,13261925,14030609,13312972,12949890,13606858,12976536,13697002,14332174,13673606,12702210,12684724,11694300,18628473,15783123,13915721
"FT0532",156.990722161926,482.752655029297,80511.23,68132.48,107828.51,189612.92,0,29533.84,79266.27,44509.09,86078.19,157404.26,0,25555.19,81175.36,50941.7,65775.69,177300.48,0,31153.3,79801.15,63347.69,101763.15,158839.86,0,35714.74,87322.89,52593.86,78843.07,155772.65,0,20062.56,77343.64,53125.34,72823.27,163975.85,0,31702.43,81607.47
"FT0533",157.013278371381,246.650177001953,3439509.412,1507960.64,1213884.703,3800781.557,1873.661,2757243.369,3345035.048,2109864.304,1241927.63,4248461.191,8171.572,3082571.829,3089419.985,2015348.109,1786229.782,3836634.161,0,2557077.653,3058373.151,1285615.249,1089314.215,3843673.612,0,2494330.633,2883640.597,2010495.449,1220811.748,4025422.178,1731.671,2921538.243,3083639.877,2126879.226,1859165.959,3741247.224,1591.107,2484733.241,2983701.696
"FT0534",157.025581542211,330.855102539062,405066.33,288517.44,146144.97,875318.59,81623.34,102318.13,407222.14,301734.73,155801.83,1073407.63,81345.22,98570.67,421328.03,324437.41,153553.71,845838.5,79262.27,105181.68,396170.34,261627.74,164733.1,963665.73,76756.65,90238.1,397199.53,323827.83,161254.81,1069141.17,78664.45,108332.16,381634.52,338659.03,161418.65,806952.48,79952.98,94908.58,411631.38
"FT0535",157.036802069043,420.188781738281,295691.1,197615.2,290440,235600.6,255935.1,232936.6,284752.2,268998.4,322412.1,318481.9,282470.7,250158.2,300184,292933.3,259949.5,227923.8,214691.7,196030.4,274016.2,171391.7,290548,211541.5,245740.7,209473.7,334996.5,305470.5,294129.3,301740.7,254602.9,209970.6,278182.3,297542,253397.2,222428.2,180426.7,191535.9,288035.6
"FT0536",157.077213567905,263.409912109375,65460.74,63113.5,50071.24,62191.26,40209.13,45096.2,60923.47,52792.01,60821.77,68188.34,52032.37,59394.99,57174.55,49964.79,55161.17,71688.33,48764.19,43335.94,61450.82,46345.21,54067.51,73891.66,42111.21,45819.06,56761.5,55949.15,57502.98,75535.49,45968.44,42305.47,63570.62,52853.91,51531.54,65709.82,59679.17,41647.13,53643.59
"FT0537",157.123443664004,91.541820526123,1999584,2061507,2208145,1989058,2035951,2187935,2010515,2137546,2255721,2150152,2343935,2632664,2287534,2092327,2565785,2029384,2657795,2224789,2170662,2526416,2718335,2472704,2330482,2612167,2307069,2524789,2695071,2541525,2691634,2917390,2550320,2530865,2845651,2625191,2915424,2605963,2545132
"FT0541",158.043499884437,472.010986328125,107919.36,183350.79,130774.23,73320.58,166446.89,126424.18,110206.26,168505.53,148048.37,85233.77,175900.79,117423.67,109557.16,168075.69,121217.79,97392.58,135999.23,129030.8,109828.12,179477.72,133991.52,95459.23,180713.07,125996.18,123542.67,190123.88,153297.43,108599.25,188038.22,140802.13,139953.49,173723.02,148204.45,123228.68,139053.02,145447.21,131541.9
"FT0542",158.126843765528,92.4838790893555,107823.1,153870.8,170931.9,132758.4,143777.1,195985.1,154269.6,165844.3,193719.7,169597.4,210797.6,195060.7,157732.6,148661.4,226826.3,143005.8,218696.3,180279.5,123509.5,205981.3,205365.5,194920.5,189628.3,190999.9,144823.9,218065.1,231236.2,210153.1,230547.4,224153.8,179469.4,205171.7,250233.7,226001.6,211263.3,216155.6,109653.8
"FT0543",158.851365263838,371.433074951172,32429.86,38327.14,44868.03,36662.1,65810.85,60530.2,60300.47,65704.05,63501.28,53793.68,69403.01,74140.43,61870.95,65636,67743.33,44957.17,80601.85,61306.01,61169.21,59326.98,60010.63,48410.01,64628.96,59053.34,64237.52,66481.67,55267.52,50278,63357.43,57217.23,49224.28,57603.08,53071.54,42531.19,60360.1,52165.88,44480.02
"FT0544",158.911816186965,988.967864990234,62911.26,42646.18,71973.21,54671.78,46857.31,49495.99,35667.75,48949.87,65560.33,65757.88,58715.07,53165,61162.69,59747.06,63939.69,54237.29,70592.42,49690.48,56010.65,47811.38,64458.52,60987.46,48785.4,28909.04,58266.09,51339.43,72546.54,60472.78,60413.54,54541.73,59421.63,50908.82,54036.98,54017.96,65743.61,61604.36,65098.08
"FT0546",158.950240969885,983.128173828125,893967.5,723072.1,876196,776705.1,876535.6,956786.2,910894.7,886983.8,887881.5,850537.3,900486.2,987029.6,864969.1,854987.6,861475.4,809520.7,1229689.6,1033167,900267.1,684115.6,838648.3,773817,912489.2,992543.8,885469.2,893809.9,931402.9,891462.2,938401.5,967323.9,924393.9,869403.6,854462.6,785032.5,1269987.2,1048187.1,960384.7
"FT0548",158.988846034028,963.028076171875,689797.5,649447.3,672392.6,628672.7,614386.4,737050.4,681799.6,729635,651472.7,657063.1,738401.5,776662.5,751784.5,695994.7,657274.6,645794.7,760737.6,800389.6,707492.5,665333.5,696005.8,675183.8,720639.3,754888,722306.3,774013.5,707484,695588.7,709409.6,699120,713600.7,721929.7,695971.1,621419.1,509284.9,766826.5,668699.3
"FT0551",160.007384482592,511.294189453125,273960,293801,271774.6,243300.5,322094,276514.1,274813.4,303096,305777.3,204632.7,343478.6,272405.7,238570.8,280060.3,241437.2,179553.6,314439.3,293780.1,225588.4,316737.6,276460.4,204417,333663.4,271288.9,255149.5,292526.8,276616.5,206926,286010,295583.3,263534.9,323160.9,250058.7,249480.6,347579.8,268824.8,279956.1
"FT0552",160.061566907527,530.747009277344,4430022.9,7155279,10565085.8,615447.8,823121.4,6200881.9,4604171.2,6840977,10283040.1,660624.5,756890.3,6390014.8,4433778.4,6555831.8,9386600.4,638070,727482.8,6140596.8,4298037.4,6743684.7,9997072.5,609043.6,759954.5,6359264.6,4361081.8,6735136.6,9755135.5,639461.2,716472,6233143,4176434.4,6362471,8924933.1,623827,749342.1,6161871.1,4392720.5
"FT0553",160.061682922878,228.520126342773,3644823,3559133,2463535,5680152,1821413,2550305,3538210,3234120,2478520,5617828,1815245,2702132,3481085,3508309,2246126,5653657,1720227,2471436,3390751,3090558,2362590,5851184,1821077,2616526,3363835,3215001,2414994,5538101,1822368,2728747,3363010,3523168,2275772,5814138,1755418,2557725,3357801
"FT0554",160.061638510226,136.263114929199,249074.99,235291.31,188433.78,374228.18,100048.39,193093.1,249081.36,265436.35,182373.1,354887.31,136870,185710.3,244103.54,247842,175201.01,352191.17,99380.53,166296.41,262077.27,252725.19,183439.46,363285.98,71124.92,210788.06,256021.13,286369.02,181143.62,374303.78,91817.44,208368.17,283317.06,263025.57,172421.21,392115.24,145149.3,197566.76,249269.58
"FT0555",160.842161296021,409.220306396484,347207.4,329851.4,315195,268865.9,307241.7,331871.2,283758.3,335330.2,286375.1,236933.9,269072.6,283252.1,265675,292879.5,267457.4,180631.6,202879.8,295335.8,195384.2,184180.8,235204.6,218902.9,238568.8,244153.6,196653.8,261772.8,213516.3,253004.2,278588.4,239416.9,234749.9,230354.1,200801.3,205005.3,204362,196788.9,205149
"FT0556",160.849483259239,370.063446044922,54558.41,55505.02,72229.1,55293.18,85845.52,84484.89,85988.93,89980.93,91624.22,78531.06,105741.89,100238.64,92489.44,99682.07,78620.62,83888.86,101614.25,94223.62,85408.93,80187.25,93429.08,66510.16,89426.58,86162.83,83230.01,88556.93,79474.35,66344.29,90267.87,77622.36,73988.85,80560.99,77267.28,67224.13,84950.24,85259.56,72234.96
"FT0559",161.045548740551,509.949142456055,1946091,1514891,1806662,2659840,1461247,1085263,1923494,1631028,2038689,2702911,1633235,1281474,1835847,1608753,1816816,2561482,1563241,1285608,1791083,1499531,1851875,2621526,1449596,1092153,1867419,1713797,1961765,2502877,1794547,1204865,1862601,1657191,1771080,2562777,1708807,1224867,1856434
"FT0561",161.04570327958,175.509780883789,209865.64,411402.7,402664.48,66868.93,60797.21,144752.94,217768.6,378778.31,363123.29,57289.39,82326.99,132762.57,219046.8,382973.71,353678.94,72268.59,78992.36,164754.34,191515.85,371265.91,366810.37,58433.97,71973.25,149812.43,193250.71,403491.89,382703.5,61754.1,78814.13,160062.52,207830.03,409250.49,337531.35,50885.08,59604.29,163045.55,185685.61
"FT0566",162.023176644319,435.376419067383,29187.186,0,0,0,232120.47,6758.36,33240.768,0,0,2905.472,253309.578,3164.287,16965.864,0,0,3165.582,163993.284,1422.15,29436.116,1945.156,0,0,203309.504,4863.99,26483.064,0,0,1755.952,246174.253,6911.469,24322.955,0,0,0,173151.546,5289.509,24826.807
"FT0567",162.023280949477,178.407333374023,48117.41,67142.31,62700.12,49349.02,14662.05,30888.82,50320.45,50018.38,67850.28,56700.87,14523.38,41069.54,44329.59,67640.75,63914.81,57760.21,12489.07,37061.78,43149.6,55158.44,71683.9,47510.75,10871.62,44606.86,47620.08,60962.36,67826.36,47764.62,23492.36,45472.3,49180.16,73214.21,71080.84,64254.52,22770.45,34266.59,60727.52
"FT0568",162.040971564118,407.578002929688,83957.361,140694.595,120028.329,52975.322,29420.624,80448.612,78312.96,115706.726,103585.611,52286.752,43808.025,65419.023,86339.606,124114.906,92543.775,64137.767,11058.525,80839.995,80053.541,126971.277,130124.145,65842.811,35275.526,77322.596,97274.024,119402.145,113836.536,55034.622,43183.36,71476.626,79404.917,125456.846,89698.742,64890.746,6660.712,74594.526,73574.24
"FT0570",162.842661545975,410.409576416016,4688719,3647987,4138882,3326674,4276248,4656326,4132564,3914367,3779184,3830708,4378609,4724313,4556879,4518465,4060743,3769878,5480023,5588119,4985161,3951696,4991958,4291810,5279610,5577173,4755405,4894283,4565528,4544499,4776044,4979261,4584905,4423446,4050562,3700590,4665272,4597039,4236720
"FT0573",162.953484927783,991.872741699219,189063.5,162951.3,194265.7,184526,178311.4,179908.3,183451.1,174877.3,200253.7,181195,167859.5,173196.3,176653.6,169585.9,169026.7,173610.1,152676.1,151987.3,174187.5,154802.8,164687.6,174431.5,162281.3,155754.3,167196.2,183165.1,196614.2,188953.2,158230.1,157128.7,179418.5,156181.9,172606.1,171152,146388.8,153521,153766.1
"FT0576",163.040247777164,411.800811767578,365377.5,417588.4,431446.2,318797.8,287067.1,297309.5,349687.2,406395.7,418924.8,302741.7,298668.3,302273.3,369112.7,446456.8,409949.7,295751.6,267781.9,277417.2,332207.8,381117.3,416885.4,312562.7,298573.1,308248,331839.1,414079.4,417725.5,323500.7,295348.7,287700.9,356674.4,431572.8,405802.8,314465,271992.7,291724.6,329769.6
"FT0578",163.06138898856,102.941192626953,1307771.3,1527916.1,1043087.6,938686.7,799259.3,1226222.4,1243270.2,542301.8,1263272.7,771900.8,1834122.1,1589610.7,1280496.7,1469798.1,1144915.1,632367.2,2681801.8,2635907.7,1211330.7,1476225.7,1175079.5,1068264.5,868449.3,1267900.5,1296412.5,558273,1323064,770019.1,1885813.3,2385915.4,1276485.9,1584284.7,1211170.5,687798.1,1940507.4,1866717.3,1899175.9
"FT0579",163.061382529982,163.244995117188,1471772.8,2003942.9,1301982.7,1261259.7,929964.2,1262941.5,1385115.5,572736.9,1510529.2,896408.1,1947322.9,1583130.6,1388296.2,1743060.2,1360158.8,819618.9,1488638.7,1926700.1,1330904.2,1852671,1251542.4,1241089.8,1004929.2,1312034.3,1348859.4,651574.5,1552880.6,910175.3,1999787.2,1617327.7,1349999.3,1739701,1374601.6,815177.6,1407140.5,1823274.5,1401783.5
"FT0580",163.061409882115,440.686798095703,3249861.7,768965,872925.6,2603780.3,9591405.8,1462953.6,3186777,689355.8,1029300.6,2609046.1,9419108.9,1436565,3095167.4,779810.6,789737.1,2481361.7,7425522,1391897.7,3212836.9,771506.6,893276.9,2615456.8,9091785.4,1431364.1,3071155.5,685904.2,1015056.3,2416994.5,9629462,1490775.1,3246257.7,817958,759148.9,2533629.9,7276115.4,1407233.4,3163376.7
"FT0581",163.061394678007,285.940002441406,553582.6,522528.1,732333.2,532260.6,536327,412798.3,617903.7,327351.8,477593.2,220264.4,916262.3,546856.9,521543,526138.5,530489.4,255398.8,1324353,620024,578083.2,507268.3,689877.4,462352.1,551244.1,448866.6,617169.7,281688.3,487468.1,226968.5,926076.2,553908.1,593226.1,534703.3,525179.3,171339.7,1283402.5,599626.9,578356.5
"FT0582",163.076557825729,90.3666496276855,391406.1,350060.7,426303,279672,352110,381563,329735.7,383588.6,309490.4,213865.2,387285,466273.9,335537.1,375212.2,314209.6,234870.5,400669.5,345915,393005.4,323679.3,400590.1,286788.8,328915.8,374983,395620.3,377768.1,311693.4,225503.5,367550,474135,303498.7,379707.4,330748.5,247837,350358,349096.6,399776
"FT0583",163.840539814708,409.000091552734,7437116,5766526,6451753,5629074,6831705,7658884,6724549,6554776,6271935,6469197,7398936,7860386,7417673,7100874,6279292,5687274,8679294,7675475,6789007,5264479,6599056,5999096,7506637,7995695,6885397,7041893,6671499,7007548,7439991,7641023,7218251,6935837,6434534,6028790,8550137,7760729,7073993
"FT0584",163.896715250791,375.700073242188,120575.59,69690.82,111155.59,65473.5,120892.61,153947.61,107350.73,105402.89,99714.04,83304.41,125740.19,150819.71,113301.77,115952.5,91738.35,70836.51,250908.93,150846.01,123916.92,60004.42,83222.52,59648.24,112467.69,164948.82,111220.8,114707.66,112184.56,88447.53,118945.21,137414.88,94974.5,96178.22,82559.36,55054.96,240834.41,148119.29,98416.77
"FT0586",164.000074766102,489.459197998047,119939.74,158763.51,104090.27,68964.92,371568.24,193624.26,133231.61,143343,99498.25,47843.11,344949.69,168058.39,135752.34,135743.86,72706.19,53202.66,252742.98,191209.64,113368.85,121161.31,91106.51,74490.54,325607.49,165380.1,112837.69,138875.18,103942.27,46553.43,331526.79,152418.24,112784.25,133538.43,68971.33,69805.54,242718.76,184029.37,119817.06
"FT0587",164.038892996626,439.77099609375,3810629,2714822,2942347,2745968,5975876,2464652,3751921,2455040,3125297,2674610,5593982,2371898,3465832,2531063,2548247,2484456,2589009,2203061,3541714,2535256,2746764,2508953,5337720,2309016,3355299,2462234,2989244,2299356,5453040,2411461,3648765,2699685,2471796,2375603,2432303,2174751,3565404
"FT0588",164.058009053638,224.268463134766,147176.4,120714.4,178630.6,166930.8,187028.1,124111.8,165509.2,123000.1,210774.3,168437.8,211842.6,122396,152175.2,114026.7,152745.5,163848.4,173106.2,121618.4,138270.7,121749.6,177942.3,161926.3,191510.8,110213.3,136013.8,117976.8,191505.4,157245.4,186134.8,126546.2,144981.5,109434.6,154426.4,166097.3,164382.5,112008.8,141446.9
"FT0590",164.071934775795,250.765548706055,16070035,18118734,19491140,12880437,14986097,14044496,15716213,17907010,19348333,12709986,15251066,13949668,15667595,18646786,17024221,12839452,14234145,13336501,14594230,17181164,18850439,13163548,14905058,13210061,14496103,17901460,19206317,12509693,14597011,13564301,15029416,19178852,17511786,12379786,14153075,13066205,14968770
"FT0591",164.839623699069,410.4091796875,4882806,3624302,4148941,3373843,4340099,4617859,4176036,4015208,3836093,3841609,4308573,4706286,4519732,4591258,4105394,3864076,5423200,5667955,5046241,4085842,5028260,4450498,5313062,5564551,4829817,5016353,4572175,4523014,4747495,4830718,4606035,4530047,4116187,3713823,4645099,4616056,4167815
"FT0593",165.040482748,436.984008789062,3525529.7,1971853.1,1972275.1,6670816.6,1270356.6,1500234.3,3427874,1766599.4,2030973.7,6621156.7,1329429.6,1487918.7,3259889.4,1837289.2,1733619.8,6584237.4,874781.6,1419683,3341245.2,1850264.9,2035054,6870693.4,1284107.6,1454726.9,3279059.1,1853390.7,2089320.5,6150417.4,1352717.2,1525925.7,3376240.7,1930943.7,1806629.1,6555958.1,880492.1,1403096,3279463.6
"FT0594",165.040851849797,92.7723999023438,1014635.2,1331383.7,885069.1,954209,1053043.4,990694,1597930,1179636.4,1301847.8,1181701.2,1343129.1,1373939.5,1348049.1,1459124.4,919216.2,1362641.1,1172006.4,1090212.1,1985754.9,9440966.4,9183502.3,9528238.4,9360697.6,10618956.2,1472648.3,9953043.8,9330239.9,8686861.9,10048120.7,9415741.5,2008317.7,9705737,7133109.5,7144923.3,9530632.4,9456399,1762160
"FT0596",165.837455376192,409.000091552734,7520877,5734562,6573922,5630286,7043426,7635722,6794397,6568874,6304530,6436641,7516267,7983073,7477241,7254361,6361632,5786507,8719721,7760128,6875504,5388780,6770688,6020485,7500900,7948634,7046364,7061430,6711421,6944620,7449625,7609508,7192819,7023536,6631127,6074260,8527357,7792608,7068348
"FT0597",165.894504661212,375.700378417969,123619.16,73965.08,108732.25,65004.1,124227.62,165504.93,120029.39,101278.33,103159.2,86264.03,118315.92,143166.04,120394.34,106606.12,94640.37,65680.07,254341.18,157424.84,99730.51,74066.03,92578.29,73892.29,129838.93,154430.88,131880.29,116810.52,105182.96,80095.84,131651.63,142145.05,104486.31,117065.62,92162.97,55569.89,240157.14,161642.97,109305.1
"FT0603",166.975168951174,645.463989257812,319012.4,346502.5,514552.3,227839.2,289788,242638.9,295027,300766.3,567127.8,188422.2,381084,245913,298713.4,234497.1,346347.2,246756.6,312672.8,370633.3,332418.5,326804.4,489337,278672.6,325603.9,250896.6,288785.8,327208.1,594369.1,184513.5,450101.6,265454.1,304848.5,256925.5,407923.3,237999.3,357872.2,416003.6,338592
